dataset,fpr,tpr,threshold,auc
train,0.0,0.0,3.5872430975967835,0.5910159782936387
train,0.0,0.003115264797507788,2.5872430975967835,0.5910159782936387
train,0.0,0.1838006230529595,0.235173651228825,0.5910159782936387
train,0.025806451612903226,0.1838006230529595,0.23228486472353613,0.5910159782936387
train,0.025806451612903226,0.19314641744548286,0.2243668355323632,0.5910159782936387
train,0.05806451612903226,0.19314641744548286,0.21983045812166116,0.5910159782936387
train,0.05806451612903226,0.205607476635514,0.21447882353110254,0.5910159782936387
train,0.08387096774193549,0.205607476635514,0.21378091060563661,0.5910159782936387
train,0.08387096774193549,0.21495327102803738,0.2065779370444515,0.5910159782936387
train,0.09032258064516129,0.21495327102803738,0.20462750270352542,0.5910159782936387
train,0.09032258064516129,0.22429906542056074,0.20386973716859438,0.5910159782936387
train,0.0967741935483871,0.22429906542056074,0.20205340020732723,0.5910159782936387
train,0.0967741935483871,0.2554517133956386,0.19223571790072275,0.5910159782936387
train,0.1032258064516129,0.2554517133956386,0.19220032496462133,0.5910159782936387
train,0.11612903225806452,0.2554517133956386,0.19205122641445202,0.5910159782936387
train,0.11612903225806452,0.26791277258566976,0.19074477736070444,0.5910159782936387
train,0.12903225806451613,0.26791277258566976,0.19066685926762245,0.5910159782936387
train,0.16774193548387098,0.26791277258566976,0.1895584365481404,0.5910159782936387
train,0.1870967741935484,0.26791277258566976,0.1893140895008183,0.5910159782936387
train,0.1870967741935484,0.2866043613707165,0.18592638681480286,0.5910159782936387
train,0.2,0.2866043613707165,0.18585902019082856,0.5910159782936387
train,0.2,0.29906542056074764,0.18337358076275018,0.5910159782936387
train,0.2129032258064516,0.29906542056074764,0.18323630227788995,0.5910159782936387
train,0.23225806451612904,0.29906542056074764,0.18317323567376356,0.5910159782936387
train,0.23225806451612904,0.3115264797507788,0.180658610568432,0.5910159782936387
train,0.23870967741935484,0.3115264797507788,0.17975542820238755,0.5910159782936387
train,0.23870967741935484,0.3177570093457944,0.1793101717162243,0.5910159782936387
train,0.24516129032258063,0.3177570093457944,0.17836712316604011,0.5910159782936387
train,0.24516129032258063,0.32398753894080995,0.17789105208693784,0.5910159782936387
train,0.25806451612903225,0.32398753894080995,0.17736711533181154,0.5910159782936387
train,0.25806451612903225,0.34579439252336447,0.17492720318958951,0.5910159782936387
train,0.2838709677419355,0.34579439252336447,0.17432543190267935,0.5910159782936387
train,0.2838709677419355,0.35202492211838005,0.17369034974415562,0.5910159782936387
train,0.2967741935483871,0.35202492211838005,0.1731223184472811,0.5910159782936387
train,0.2967741935483871,0.37383177570093457,0.16956693310029733,0.5910159782936387
train,0.3096774193548387,0.37383177570093457,0.16890833543947772,0.5910159782936387
train,0.3096774193548387,0.37694704049844235,0.16822899605572497,0.5910159782936387
train,0.3161290322580645,0.37694704049844235,0.16785240360024503,0.5910159782936387
train,0.3548387096774194,0.37694704049844235,0.1675835596186081,0.5910159782936387
train,0.3548387096774194,0.3987538940809969,0.16489962797057475,0.5910159782936387
train,0.38064516129032255,0.3987538940809969,0.16461046688956063,0.5910159782936387
train,0.38064516129032255,0.4174454828660436,0.16183485884657647,0.5910159782936387
train,0.3870967741935484,0.4174454828660436,0.1615925621648761,0.5910159782936387
train,0.3870967741935484,0.4205607476635514,0.16151755675593968,0.5910159782936387
train,0.4,0.4205607476635514,0.16135829443448063,0.5910159782936387
train,0.4,0.42679127725856697,0.16110576334226404,0.5910159782936387
train,0.4064516129032258,0.42679127725856697,0.1601245776569726,0.5910159782936387
train,0.4064516129032258,0.43302180685358255,0.15999503344867153,0.5910159782936387
train,0.4129032258064516,0.43302180685358255,0.15985980795415555,0.5910159782936387
train,0.4129032258064516,0.4485981308411215,0.15944367476169713,0.5910159782936387
train,0.43870967741935485,0.4485981308411215,0.15939058031234377,0.5910159782936387
train,0.45806451612903226,0.4485981308411215,0.15904743501804505,0.5910159782936387
train,0.45806451612903226,0.4672897196261682,0.15755307889593856,0.5910159782936387
train,0.4645161290322581,0.4672897196261682,0.15750140141121244,0.5910159782936387
train,0.4645161290322581,0.5109034267912772,0.1533483990653592,0.5910159782936387
train,0.4774193548387097,0.5109034267912772,0.1533413157194894,0.5910159782936387
train,0.4774193548387097,0.5171339563862928,0.15266941646319365,0.5910159782936387
train,0.4967741935483871,0.5171339563862928,0.15216966739383175,0.5910159782936387
train,0.4967741935483871,0.5607476635514018,0.14895682396038218,0.5910159782936387
train,0.5096774193548387,0.5607476635514018,0.14873380789984886,0.5910159782936387
train,0.5096774193548387,0.5638629283489096,0.1483124299623014,0.5910159782936387
train,0.5161290322580645,0.5638629283489096,0.14761365379331995,0.5910159782936387
train,0.5161290322580645,0.6355140186915887,0.14087808197068896,0.5910159782936387
train,0.5225806451612903,0.6355140186915887,0.1406838379808897,0.5910159782936387
train,0.5225806451612903,0.6510903426791277,0.1391689753334452,0.5910159782936387
train,0.5290322580645161,0.6510903426791277,0.13910352819428395,0.5910159782936387
train,0.5290322580645161,0.6791277258566978,0.13582091351524686,0.5910159782936387
train,0.535483870967742,0.6791277258566978,0.13575247216735603,0.5910159782936387
train,0.535483870967742,0.6853582554517134,0.13545490318371348,0.5910159782936387
train,0.5548387096774193,0.6853582554517134,0.13512607666540064,0.5910159782936387
train,0.5548387096774193,0.6978193146417445,0.13408828612610954,0.5910159782936387
train,0.5870967741935483,0.6978193146417445,0.133939389535762,0.5910159782936387
train,0.5870967741935483,0.7819314641744548,0.12609094187734088,0.5910159782936387
train,0.5935483870967742,0.7819314641744548,0.1256587046135441,0.5910159782936387
train,0.5935483870967742,0.794392523364486,0.12468713592454225,0.5910159782936387
train,0.6,0.794392523364486,0.12466825718932187,0.5910159782936387
train,0.6,0.8099688473520249,0.12263362975960516,0.5910159782936387
train,0.6258064516129033,0.8099688473520249,0.12204880815130352,0.5910159782936387
train,0.6258064516129033,0.8130841121495327,0.1214662259882826,0.5910159782936387
train,0.632258064516129,0.8130841121495327,0.1214445522147863,0.5910159782936387
train,0.632258064516129,0.822429906542056,0.1193518025750195,0.5910159782936387
train,0.6516129032258065,0.822429906542056,0.11764577549143192,0.5910159782936387
train,0.6516129032258065,0.8286604361370716,0.11703823345697976,0.5910159782936387
train,0.6709677419354839,0.8286604361370716,0.11667942956558655,0.5910159782936387
train,0.6709677419354839,0.8317757009345794,0.11638540770349388,0.5910159782936387
train,0.6774193548387096,0.8317757009345794,0.1154315898988622,0.5910159782936387
train,0.6774193548387096,0.8473520249221184,0.1131073875757178,0.5910159782936387
train,0.6967741935483871,0.8473520249221184,0.11233745750176094,0.5910159782936387
train,0.6967741935483871,0.8504672897196262,0.11203148396600583,0.5910159782936387
train,0.7290322580645161,0.8504672897196262,0.11174496902470389,0.5910159782936387
train,0.7290322580645161,0.8535825545171339,0.11066831930048905,0.5910159782936387
train,0.7419354838709677,0.8535825545171339,0.11061968079623843,0.5910159782936387
train,0.7419354838709677,0.8566978193146417,0.1103505671192107,0.5910159782936387
train,0.7483870967741936,0.8566978193146417,0.11019705669542665,0.5910159782936387
train,0.7483870967741936,0.8598130841121495,0.10987231639331015,0.5910159782936387
train,0.7548387096774194,0.8598130841121495,0.10920911602227965,0.5910159782936387
train,0.7677419354838709,0.8598130841121495,0.10862809310473315,0.5910159782936387
train,0.7741935483870968,0.8598130841121495,0.10837477376089986,0.5910159782936387
train,0.7741935483870968,0.8629283489096573,0.10791643145429063,0.5910159782936387
train,0.7806451612903226,0.8629283489096573,0.10781838362450738,0.5910159782936387
train,0.7806451612903226,0.8691588785046729,0.10731892761281793,0.5910159782936387
train,0.8,0.8691588785046729,0.10722321512834113,0.5910159782936387
train,0.8,0.881619937694704,0.10589595867424419,0.5910159782936387
train,0.8129032258064516,0.881619937694704,0.10582635996878474,0.5910159782936387
train,0.8129032258064516,0.8878504672897196,0.10551183300255056,0.5910159782936387
train,0.8193548387096774,0.8878504672897196,0.10482979126684662,0.5910159782936387
train,0.8193548387096774,0.9034267912772586,0.10154829387626133,0.5910159782936387
train,0.8451612903225807,0.9034267912772586,0.09912210321518941,0.5910159782936387
train,0.8451612903225807,0.9096573208722741,0.09855143258395078,0.5910159782936387
train,0.8580645161290322,0.9096573208722741,0.09853212360631326,0.5910159782936387
train,0.8580645161290322,0.9158878504672897,0.09816957083124471,0.5910159782936387
train,0.864516129032258,0.9158878504672897,0.09750803017301446,0.5910159782936387
train,0.864516129032258,0.9252336448598131,0.09577974096011976,0.5910159782936387
train,0.8903225806451613,0.9252336448598131,0.09554852566315573,0.5910159782936387
train,0.8903225806451613,0.9439252336448598,0.09397612955140323,0.5910159782936387
train,0.896774193548387,0.9439252336448598,0.09326500360370105,0.5910159782936387
train,0.896774193548387,0.956386292834891,0.09117163890926498,0.5910159782936387
train,0.9096774193548387,0.956386292834891,0.08973988583178429,0.5910159782936387
train,0.9096774193548387,0.9626168224299065,0.08965667068887534,0.5910159782936387
train,0.9290322580645162,0.9626168224299065,0.0896334272455086,0.5910159782936387
train,0.9290322580645162,0.9688473520249221,0.08703927243054194,0.5910159782936387
train,0.9419354838709677,0.9688473520249221,0.08524924751656553,0.5910159782936387
train,0.9419354838709677,0.9781931464174455,0.08220679253559579,0.5910159782936387
train,0.9548387096774194,0.9781931464174455,0.08029530587686706,0.5910159782936387
train,0.9548387096774194,1.0,0.06419179594466502,0.5910159782936387
train,0.9612903225806452,1.0,0.03502641002035952,0.5910159782936387
train,0.9870967741935484,1.0,0.03448068811270461,0.5910159782936387
train,1.0,1.0,0.033928037858247155,0.5910159782936387
val,0.0,0.0,1.6177198896317728,0.6818181818181819
val,0.0,0.011363636363636364,0.6177198896317729,0.6818181818181819
val,0.0,0.29545454545454547,0.1861718735738989,0.6818181818181819
val,0.25,0.29545454545454547,0.18568235728006766,0.6818181818181819
val,0.25,0.4772727272727273,0.15548152761885714,0.6818181818181819
val,0.5,0.4772727272727273,0.1529434904203095,0.6818181818181819
val,0.5,0.9659090909090909,0.09145082489685123,0.6818181818181819
val,0.75,0.9659090909090909,0.08877061653319918,0.6818181818181819
val,0.75,0.9886363636363636,0.08665302630124647,0.6818181818181819
val,1.0,0.9886363636363636,0.08579498650075312,0.6818181818181819
val,1.0,1.0,0.08299101930848492,0.6818181818181819
test,0.0,0.0,1.8259686710591847,0.6958762886597939
