feature,importance
Gyro_Y_peak,0.14711353
acc_Sum_rms,0.12185615
acc_Sum_peak,0.11206075
Gyro_Y_rms,0.09741493
acc_Y_peak,0.09377871
Gyro_Y_rms_low,0.08675359
acc_Y_rms,0.08119152
acc_Y_crest,0.061584663
acc_Sum_crest,0.057103045
Gyro_Y_rms_high,0.04879463
acc_Y_rms_high,0.048405286
Gyro_Y_crest,0.043943204
