fold,accuracy,auc,precision_normal,recall_normal,precision_abnormal,recall_abnormal
1,0.7464788732394366,0.7306818181818182,0.4375,0.4375,0.8363636363636363,0.8363636363636363
2,0.45132743362831856,0.5452716297786719,0.9090909090909091,0.14084507042253522,0.4019607843137255,0.9761904761904762
3,0.7731958762886598,0.7949260042283298,0.23809523809523808,0.45454545454545453,0.9210526315789473,0.813953488372093
4,0.5476190476190477,0.8310810810810811,0.1956521739130435,0.9,0.9736842105263158,0.5
5,0.6708860759493671,0.6135416666666667,0.2608695652173913,0.4,0.8392857142857143,0.734375
