feature,importance,feature_name
f4,29.147768020629883,acc_Y_peak
f5,27.17450714111328,acc_Sum_peak
f7,26.240482330322266,acc_Y_kurtosis
f1,23.493558883666992,acc_X_rms
f0,19.636789321899414,acc_Y_rms
f3,18.139986038208008,Gyro_X_rms
f6,12.999229431152344,acc_Y_crest
f8,10.863547325134277,acc_Sum_kurtosis
f2,9.095245361328125,Gyro_Y_rms
