fold,auc,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,best_iteration
1,0.9766749379652605,0.8,0.9032258064516129,0.8484848484848486,0.9508196721311475,0.8923076923076924,0.9206349206349206,304
2,0.9879032258064516,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.96875,0.96875,0.96875,257
3,0.9460685483870968,0.7941176470588235,0.8709677419354839,0.8307692307692308,0.9344262295081968,0.890625,0.9120000000000001,226
4,0.9808467741935484,0.8333333333333334,0.967741935483871,0.8955223880597015,0.9830508474576272,0.90625,0.943089430894309,56
5,0.9924395161290323,0.8333333333333334,0.967741935483871,0.8955223880597015,0.9830508474576272,0.90625,0.943089430894309,241
