fold,auc,precision_abnormal,recall_abnormal,f1_abnormal,precision_normal,recall_normal,f1_normal
1,0.923125,0.9454545454545454,0.8125,0.8739495798319329,0.6470588235294118,0.88,0.7457627118644068
2,0.9075,0.9444444444444444,0.796875,0.8644067796610169,0.6285714285714286,0.88,0.7333333333333334
3,0.9425,0.9473684210526315,0.84375,0.8925619834710744,0.6875,0.88,0.7719298245614036
4,0.9846153846153846,0.984375,0.9692307692307692,0.9767441860465116,0.92,0.9583333333333334,0.9387755102040817
5,0.94140625,0.9242424242424242,0.953125,0.9384615384615383,0.8636363636363636,0.7916666666666666,0.8260869565217391
