Model,Features,AUC,Precision_Abnormal,Recall_Abnormal,F1_Abnormal,Precision_Normal,Recall_Normal,F1_Normal
Step 2: XGBoost v1 (9 features),9 (original),0.7083946980854198,0.9305555555555556,0.6907216494845361,0.7928994082840237,0.2307692307692307,0.6428571428571429,0.339622641509434
Step 3-2: Hybrid (XGB v1 + RMS rule),9 + rule,,0.9285714285714286,0.8041237113402062,0.861878453038674,0.2962962962962963,0.5714285714285714,0.3902439024390244
Step 3-4: XGBoost v2 (18 features),18 (original + Band RMS),0.8114874815905744,0.9482758620689655,0.5670103092783505,0.7096774193548387,0.20754716981132076,0.7857142857142857,0.3283582089552239
