Method,Threshold,AUC,Precision_Abnormal,Recall_Abnormal,Precision_Normal,Recall_Normal
Step 2 (threshold=0.5),0.5,0.7083946980854198,0.9305555555555556,0.6907216494845361,0.23076923076923078,0.6428571428571429
Step 3-1 (threshold=0.625),0.625,0.7083946980854198,0.8888888888888888,0.9896907216494846,0.6666666666666666,0.14285714285714285
