acc_Z_rms,class_label,window_id
0.08664177053590615,Normal,100W_S00_CCW_R4_W0001
0.28362706663495946,Abnormal,200W_S04_CW_R4_W0526
0.16241185771661232,Abnormal,200W_S20_CW_R4_W0487
0.1097549372343517,Abnormal,100W_S18_CW_R4_W0253
0.16893946805630758,Abnormal,200W_S20_CW_R4_W0495
0.11986391163029794,Abnormal,100W_S02_CW_R4_W0046
0.11442965947992423,Abnormal,200W_S20_CW_R4_W0490
0.2747204571210137,Abnormal,200W_S18_CW_R4_W0394
0.09935047664432949,Normal,100W_S06_CW_R4_W0133
0.10519065988058124,Abnormal,200W_S07_CW_R4_W0598
0.2840482650942202,Normal,200W_S03_CW_R4_W0506
0.10197874284059935,Abnormal,100W_S18_CCW_R4_W0243
0.08273102883181875,Abnormal,100W_S09_CW_R4_W0188
0.617779140134356,Abnormal,200W_S01_CCW_R4_W0294
0.10464820298702564,Normal,100W_S01_CW_R4_W0024
0.1035090232296701,Normal,100W_S06_CW_R4_W0127
0.20583278453933698,Normal,200W_S03_CW_R4_W0505
0.27816060740514237,Abnormal,200W_S04_CW_R4_W0535
0.1011400959679541,Normal,100W_S06_CW_R4_W0131
0.1584627755419109,Abnormal,100W_S07_CCW_R4_W0137
0.14460117488032864,Abnormal,100W_S03_CCW_R4_W0054
0.2274021726575355,Abnormal,200W_S09_CCW_R4_W0628
0.07245598746612703,Normal,100W_S00_CW_R4_W0010
0.07147233575056541,Abnormal,100W_S09_CW_R4_W0191
0.14921433294159975,Normal,200W_S02_CW_R4_W0421
0.16934205824627202,Abnormal,200W_S09_CCW_R4_W0633
0.1483304542813792,Abnormal,200W_S04_CCW_R4_W0519
0.9001159087527192,Abnormal,200W_S01_CW_R4_W0317
0.5378937626367924,Abnormal,200W_S01_CCW_R4_W0297
0.2525294156108485,Normal,200W_S02_CW_R4_W0462
0.08584218818728524,Abnormal,100W_S18_CW_R4_W0246
0.2525294156108485,Normal,200W_S02_CW_R4_W0446
0.0939432410079303,Abnormal,100W_S19_CW_R4_W0265
0.6249108742797121,Abnormal,200W_S01_CCW_R4_W0302
0.2208952623853301,Abnormal,200W_S18_CW_R4_W0396
0.1303290561296939,Normal,200W_S02_CW_R4_W0444
0.18384924371016714,Abnormal,200W_S20_CW_R4_W0488
0.10875127939223093,Abnormal,100W_S02_CW_R4_W0047
0.14017158050770803,Abnormal,200W_S09_CCW_R4_W0630
0.09313499725248772,Normal,100W_S01_CW_R4_W0027
