class,feature,count,mean,median,q25,q75,min,max
Normal,Gyro_X_rms,155,0.7209047463455733,0.5550357499370665,0.4301101177689449,0.9337122698925892,0.2746634764483755,2.312587792468248
Abnormal,Gyro_X_rms,321,0.7976626406963776,0.7350362517276067,0.4973861675136722,0.9919003056146234,0.1752125029076605,2.236232383728404
