acc_Sum_peak,acc_Sum_crest,label_binary,class_label,window_id
0.628389716148376,4.061787658406173,1,Normal,100W_S00_CCW_R4_W0001
1.16884195804596,2.854205783193363,0,Abnormal,200W_S04_CW_R4_W0526
0.849409639835358,3.102855518628258,0,Abnormal,200W_S20_CW_R4_W0487
0.85089647769928,4.116874334133636,0,Abnormal,100W_S18_CW_R4_W0253
0.979548513889313,3.1855455698076347,0,Abnormal,200W_S20_CW_R4_W0495
0.638161242008209,2.8698963254024976,0,Abnormal,100W_S02_CW_R4_W0046
0.746036231517792,3.0682743490447497,0,Abnormal,200W_S20_CW_R4_W0490
1.78460359573364,3.7075021474818777,0,Abnormal,200W_S18_CW_R4_W0394
0.554408550262451,3.0383987962331847,1,Normal,100W_S06_CW_R4_W0133
0.928726732730865,4.166396256832925,0,Abnormal,200W_S07_CW_R4_W0598
1.13273119926453,2.7580612192791487,1,Normal,200W_S03_CW_R4_W0506
0.750737130641937,3.6726206105655534,0,Abnormal,100W_S18_CCW_R4_W0243
0.51800400018692,3.542083871584163,0,Abnormal,100W_S09_CW_R4_W0188
3.46357131004334,3.1442696499865113,0,Abnormal,200W_S01_CCW_R4_W0294
1.0148651599884,4.097665365954569,1,Normal,100W_S01_CW_R4_W0024
0.537316739559174,2.90526175011713,1,Normal,100W_S06_CW_R4_W0127
0.941250741481781,2.8171583269107994,1,Normal,200W_S03_CW_R4_W0505
1.19627487659454,2.979847189445522,0,Abnormal,200W_S04_CW_R4_W0535
0.513775408267975,2.7013410477030804,1,Normal,100W_S06_CW_R4_W0131
0.723994851112366,3.010381316120276,0,Abnormal,100W_S07_CCW_R4_W0137
0.652002274990082,2.7904634138321156,0,Abnormal,100W_S03_CCW_R4_W0054
0.96297824382782,2.7446665380018476,0,Abnormal,200W_S09_CCW_R4_W0628
0.484659224748611,3.3400399354914843,1,Normal,100W_S00_CW_R4_W0010
0.450930595397949,3.3956713642243095,0,Abnormal,100W_S09_CW_R4_W0191
0.907435297966003,3.6751167948706636,1,Normal,200W_S02_CW_R4_W0421
0.90638142824173,3.178513788676044,0,Abnormal,200W_S09_CCW_R4_W0633
0.781431674957275,2.847714259399667,0,Abnormal,200W_S04_CCW_R4_W0519
6.72697162628174,3.1871767992237916,0,Abnormal,200W_S01_CW_R4_W0317
5.26806926727295,3.5656514593237847,0,Abnormal,200W_S01_CCW_R4_W0297
1.23114848136902,3.3218971194458904,1,Normal,200W_S02_CW_R4_W0462
0.54369992017746,3.112514631785222,0,Abnormal,100W_S18_CW_R4_W0246
1.23114848136902,3.3218971194458904,1,Normal,200W_S02_CW_R4_W0446
0.503635406494141,3.3223721630163854,0,Abnormal,100W_S19_CW_R4_W0265
3.52946209907532,2.934517299803544,0,Abnormal,200W_S01_CCW_R4_W0302
1.51056373119354,3.8902154070255035,0,Abnormal,200W_S18_CW_R4_W0396
0.760854482650757,3.1563884638705275,1,Normal,200W_S02_CW_R4_W0444
0.849409639835358,2.8627523038957903,0,Abnormal,200W_S20_CW_R4_W0488
0.771572828292847,3.7284792240510987,0,Abnormal,100W_S02_CW_R4_W0047
0.726081311702728,2.8417853678982374,0,Abnormal,200W_S09_CCW_R4_W0630
0.741271018981934,3.4700431104189673,1,Normal,100W_S01_CW_R4_W0027
0.779552936553955,3.186586156451882,0,Abnormal,200W_S10_CCW_R4_W0328
0.65858405828476,2.550493440725856,0,Abnormal,100W_S03_CCW_R4_W0059
0.628389716148376,4.061787658406173,1,Normal,100W_S00_CCW_R4_W0001
0.523717224597931,2.960076565352274,0,Abnormal,100W_S08_CW_R4_W0164
1.2327082157135,3.2472429734591444,1,Normal,200W_S02_CW_R4_W0450
6.0140814781189,4.812882839560273,0,Abnormal,200W_S01_CW_R4_W0319
1.31940114498138,3.364408000807084,0,Abnormal,200W_S08_CW_R4_W0618
0.818049788475037,3.7478945323750277,1,Normal,200W_S02_CW_R4_W0470
1.13273119926453,2.7580612192791487,1,Normal,200W_S03_CW_R4_W0506
0.995525062084198,3.3125044565827673,1,Normal,100W_S01_CCW_R4_W0021
0.609872460365295,3.0188926550579334,0,Abnormal,200W_S20_CW_R4_W0486
2.10101962089539,4.053766086282564,0,Abnormal,200W_S08_CW_R4_W0625
1.1005607843399,3.551261166416905,0,Abnormal,200W_S10_CCW_R4_W0335
0.852841913700104,3.002902835640282,0,Abnormal,200W_S09_CCW_R4_W0637
0.779615998268127,3.5364578012063235,0,Abnormal,200W_S06_CW_R4_W0577
1.39445817470551,3.5227130825827375,0,Abnormal,200W_S18_CW_R4_W0392
0.487389355897903,2.8361647496164535,1,Normal,100W_S05_CW_R4_W0110
