acc_Y_rms,class_label,window_id
0.09554852566315573,Normal,100W_S00_CCW_R4_W0001
0.23932498488184145,Abnormal,200W_S04_CW_R4_W0526
0.17509699935206327,Abnormal,200W_S20_CW_R4_W0487
0.15266941646319365,Abnormal,100W_S18_CW_R4_W0253
0.21688256934513825,Abnormal,200W_S20_CW_R4_W0495
0.14227766590137847,Abnormal,100W_S02_CW_R4_W0046
0.1793101717162243,Abnormal,200W_S20_CW_R4_W0490
0.35220983630019914,Abnormal,200W_S18_CW_R4_W0394
0.11174496902470389,Normal,100W_S06_CW_R4_W0133
0.15831093290900403,Abnormal,200W_S07_CW_R4_W0598
0.1893140895008183,Normal,200W_S03_CW_R4_W0506
0.15511321814790072,Abnormal,100W_S18_CCW_R4_W0243
0.09896261381624145,Abnormal,100W_S09_CW_R4_W0188
0.7213795980360517,Abnormal,200W_S01_CCW_R4_W0294
0.18317323567376356,Normal,100W_S01_CW_R4_W0024
0.10582635996878474,Normal,100W_S06_CW_R4_W0127
0.16890833543947772,Normal,200W_S03_CW_R4_W0505
0.22977728916858658,Abnormal,200W_S04_CW_R4_W0535
0.1154315898988622,Normal,100W_S06_CW_R4_W0131
0.10731892761281793,Abnormal,100W_S07_CCW_R4_W0137
0.13757625956346486,Abnormal,100W_S03_CCW_R4_W0054
0.1880491881051481,Abnormal,200W_S09_CCW_R4_W0628
0.08029530587686706,Normal,100W_S00_CW_R4_W0010
0.08703927243054194,Abnormal,100W_S09_CW_R4_W0191
0.133939389535762,Normal,200W_S02_CW_R4_W0421
0.1599996155320003,Abnormal,200W_S09_CCW_R4_W0633
0.18413602633748172,Abnormal,200W_S04_CCW_R4_W0519
1.849665491779046,Abnormal,200W_S01_CW_R4_W0317
1.31978528231163,Abnormal,200W_S01_CCW_R4_W0297
0.21983045812166116,Normal,200W_S02_CW_R4_W0462
0.12468713592454225,Abnormal,100W_S18_CW_R4_W0246
0.21983045812166116,Normal,200W_S02_CW_R4_W0446
0.09577974096011976,Abnormal,100W_S19_CW_R4_W0265
0.8681202468577075,Abnormal,200W_S01_CCW_R4_W0302
0.2622937487737257,Abnormal,200W_S18_CW_R4_W0396
0.1533413157194894,Normal,200W_S02_CW_R4_W0444
0.175599967838802,Abnormal,200W_S20_CW_R4_W0488
0.13378511485825806,Abnormal,100W_S02_CW_R4_W0047
0.15872571473316394,Abnormal,200W_S09_CCW_R4_W0630
0.14873380789984886,Normal,100W_S01_CW_R4_W0027
0.1297205483095035,Abnormal,200W_S10_CCW_R4_W0328
0.1596111328729563,Abnormal,100W_S03_CCW_R4_W0059
0.09554852566315573,Normal,100W_S00_CCW_R4_W0001
0.10415579975921183,Abnormal,100W_S08_CW_R4_W0164
0.234369625985735,Normal,200W_S02_CW_R4_W0450
0.9035134586932914,Abnormal,200W_S01_CW_R4_W0319
