Gyro_Z_rms,class_label,window_id
58.60475670415107,Abnormal,200W_S04_CCW_R4_W0520
65.8714974888301,Normal,100W_S01_CW_R4_W0033
99.37519902431133,Abnormal,100W_S18_CCW_R4_W0240
129.127345865781,Normal,100W_S01_CCW_R4_W0018
100.79255566312371,Abnormal,100W_S08_CW_R4_W0172
128.53922684068405,Abnormal,200W_S09_CCW_R4_W0632
98.24291531136453,Normal,200W_S02_CW_R4_W0451
127.24377478353586,Abnormal,100W_S18_CCW_R4_W0236
121.55255191319664,Abnormal,200W_S04_CCW_R4_W0513
98.24291531136453,Normal,200W_S02_CW_R4_W0467
80.80413049795044,Abnormal,100W_S17_CW_R4_W0230
70.65042250595279,Abnormal,100W_S07_CCW_R4_W0143
67.4724007839717,Abnormal,100W_S03_CW_R4_W0066
130.66268122021972,Abnormal,200W_S01_CCW_R4_W0309
123.25689764746892,Normal,100W_S00_CCW_R4_W0001
62.35480330193736,Abnormal,200W_S01_CCW_R4_W0311
50.804767185351736,Normal,200W_S02_CW_R4_W0421
72.09526639438276,Normal,200W_S03_CW_R4_W0508
130.0606511776801,Abnormal,200W_S01_CCW_R4_W0305
103.3735512242239,Normal,100W_S01_CW_R4_W0032
71.90197657912728,Abnormal,200W_S01_CCW_R4_W0312
129.12596624219404,Abnormal,200W_S09_CCW_R4_W0629
49.98952569901988,Normal,200W_S02_CW_R4_W0460
72.98429708052981,Abnormal,100W_S02_CW_R4_W0050
124.74781789685382,Abnormal,100W_S09_CCW_R4_W0178
132.9858979613291,Abnormal,200W_S04_CCW_R4_W0514
98.24291531136453,Normal,200W_S02_CW_R4_W0467
96.34060875894134,Normal,200W_S02_CW_R4_W0463
67.94073882891257,Normal,100W_S06_CW_R4_W0133
78.0472006192591,Abnormal,200W_S20_CW_R4_W0492
79.23982993886192,Normal,100W_S05_CCW_R4_W0099
63.69568860509413,Normal,100W_S05_CCW_R4_W0096
176.5930209435056,Normal,200W_S02_CW_R4_W0437
79.48577910427946,Normal,100W_S01_CW_R4_W0029
108.80585019698357,Abnormal,200W_S10_CCW_R4_W0327
131.23159359744474,Abnormal,200W_S07_CW_R4_W0599
62.94562944375886,Abnormal,100W_S20_CCW_R4_W0279
106.7408116291202,Normal,200W_S02_CW_R4_W0465
109.30276143797009,Abnormal,200W_S10_CCW_R4_W0331
118.01318645017972,Abnormal,100W_S03_CCW_R4_W0055
96.34060875894134,Normal,200W_S02_CW_R4_W0447
126.73083757229112,Abnormal,100W_S07_CCW_R4_W0138
63.33722688085843,Abnormal,100W_S09_CW_R4_W0193
134.0113530621198,Abnormal,200W_S17_CCW_R4_W0356
149.42429257996744,Normal,200W_S02_CW_R4_W0431
66.0246138451136,Normal,100W_S05_CCW_R4_W0103
129.127345865781,Normal,100W_S01_CCW_R4_W0018
93.88001517855486,Normal,200W_S02_CW_R4_W0459
130.21458614315614,Abnormal,200W_S07_CCW_R4_W0590
131.91027981618865,Abnormal,200W_S04_CW_R4_W0530
129.127345865781,Normal,100W_S01_CCW_R4_W0018
64.56396882367189,Abnormal,200W_S07_CCW_R4_W0584
122.02460685378205,Normal,100W_S01_CW_R4_W0024
149.42429257996744,Normal,200W_S02_CW_R4_W0431
120.38717390959006,Abnormal,200W_S08_CW_R4_W0617
127.52681736977942,Abnormal,200W_S19_CCW_R4_W0397
67.94073882891257,Normal,100W_S06_CW_R4_W0133
131.106997121656,Abnormal,200W_S07_CW_R4_W0595
