Gyro_Y_rms,Gyro_Y_kurtosis,label_binary,class_label,window_id
0.6771517311022068,-0.9252593428024545,1,Normal,100W_S00_CCW_R4_W0001
1.416427112183056,-0.9239699361702347,0,Abnormal,200W_S04_CW_R4_W0526
1.2227341112345715,-0.3417344449365469,0,Abnormal,200W_S20_CW_R4_W0487
0.7589897354625516,-1.4821035477635234,0,Abnormal,100W_S18_CW_R4_W0253
1.3079690320276554,-0.8900512432408472,0,Abnormal,200W_S20_CW_R4_W0495
0.4108597713182679,-0.7449749059460347,0,Abnormal,100W_S02_CW_R4_W0046
1.355401466928212,0.9757794627726808,0,Abnormal,200W_S20_CW_R4_W0490
0.9155633345583912,-1.0166361051648345,0,Abnormal,200W_S18_CW_R4_W0394
0.42371082308666513,-1.4535710729536335,1,Normal,100W_S06_CW_R4_W0133
1.3017683062204148,-1.416216354304659,0,Abnormal,200W_S07_CW_R4_W0598
1.3410940698537852,-1.4702105077811662,1,Normal,200W_S03_CW_R4_W0506
0.4886117924120962,-1.2685774823817262,0,Abnormal,100W_S18_CCW_R4_W0243
0.22541987176989237,-0.15885733584442452,0,Abnormal,100W_S09_CW_R4_W0188
1.5270852747410062,-1.7363924800812427,0,Abnormal,200W_S01_CCW_R4_W0294
0.4006517281108661,-1.6029692748987123,1,Normal,100W_S01_CW_R4_W0024
0.47605364880952034,-1.4545127795868529,1,Normal,100W_S06_CW_R4_W0127
1.5401595272310082,-0.602303647767199,1,Normal,200W_S03_CW_R4_W0505
0.887578743985953,-1.1806485242530367,0,Abnormal,200W_S04_CW_R4_W0535
0.4338308393642819,-1.4951682601452485,1,Normal,100W_S06_CW_R4_W0131
0.6157387333584383,-1.4361735017330484,0,Abnormal,100W_S07_CCW_R4_W0137
0.6766356688496967,-1.3321739564508082,0,Abnormal,100W_S03_CCW_R4_W0054
1.5820338588923337,-1.271903784518754,0,Abnormal,200W_S09_CCW_R4_W0628
0.592924528286937,0.044931765131075,1,Normal,100W_S00_CW_R4_W0010
0.25755179386426524,-1.1616773147649764,0,Abnormal,100W_S09_CW_R4_W0191
0.3773265678541342,-1.07587083336186,1,Normal,200W_S02_CW_R4_W0421
1.5958108465029444,-1.3592560166994123,0,Abnormal,200W_S09_CCW_R4_W0633
1.0438404328910549,-1.1998854729574222,0,Abnormal,200W_S04_CCW_R4_W0519
3.258969841966889,-0.5378592397816737,0,Abnormal,200W_S01_CW_R4_W0317
3.695608334758217,1.3982380968618626,0,Abnormal,200W_S01_CCW_R4_W0297
1.2858257423718928,-0.7006058926516654,1,Normal,200W_S02_CW_R4_W0462
0.5560640759878851,-1.137975147395551,0,Abnormal,100W_S18_CW_R4_W0246
1.2858257423718928,-0.7006058926516654,1,Normal,200W_S02_CW_R4_W0446
0.2647932931830191,-0.19134353910226976,0,Abnormal,100W_S19_CW_R4_W0265
1.3068330501057503,-1.7818198188555885,0,Abnormal,200W_S01_CCW_R4_W0302
0.7850876600860057,-0.5683609047072298,0,Abnormal,200W_S18_CW_R4_W0396
0.5012061282539612,-1.2173196204802008,1,Normal,200W_S02_CW_R4_W0444
0.7576810746824709,-0.9678671272024899,0,Abnormal,200W_S20_CW_R4_W0488
0.43356297468586785,-0.9019197324233224,0,Abnormal,100W_S02_CW_R4_W0047
0.9106915656926995,-0.9610739634341168,0,Abnormal,200W_S09_CCW_R4_W0630
0.32350860283985095,0.8606593588642695,1,Normal,100W_S01_CW_R4_W0027
1.665123797248507,-1.2428919605419169,0,Abnormal,200W_S10_CCW_R4_W0328
0.7597190390092582,-1.6627984736635757,0,Abnormal,100W_S03_CCW_R4_W0059
0.6771517311022068,-0.9252593428024545,1,Normal,100W_S00_CCW_R4_W0001
0.48983556492026653,-1.0913123478443087,0,Abnormal,100W_S08_CW_R4_W0164
1.252339836765834,-0.7934007268861265,1,Normal,200W_S02_CW_R4_W0450
0.531348706204495,-1.6080151483771203,0,Abnormal,200W_S01_CW_R4_W0319
1.5923908021110023,-0.8719556377450153,0,Abnormal,200W_S08_CW_R4_W0618
1.5067870845754159,0.06849728442330738,1,Normal,200W_S02_CW_R4_W0470
1.3410940698537852,-1.4702105077811662,1,Normal,200W_S03_CW_R4_W0506
0.6927946334666302,-1.4412850957689418,1,Normal,100W_S01_CCW_R4_W0021
1.2746932574871657,-0.38606391894404757,0,Abnormal,200W_S20_CW_R4_W0486
1.1107811503452258,-1.4664688182880874,0,Abnormal,200W_S08_CW_R4_W0625
0.9774608053196293,-0.38153838508534443,0,Abnormal,200W_S10_CCW_R4_W0335
1.647084967732115,-1.2772655937906119,0,Abnormal,200W_S09_CCW_R4_W0637
0.8060434919021118,-1.3307252644509775,0,Abnormal,200W_S06_CW_R4_W0577
0.8300087477400168,-0.8495095293412431,0,Abnormal,200W_S18_CW_R4_W0392
0.30738084105261865,-0.7559239814994334,1,Normal,100W_S05_CW_R4_W0110
0.42988655328495445,-1.3374397557983222,1,Normal,100W_S05_CW_R4_W0107
0.9353451569332183,-1.1651837900674793,0,Abnormal,200W_S07_CW_R4_W0601
0.8797851396052154,-0.90794925286131,1,Normal,200W_S03_CW_R4_W0508
1.3499962990673258,-0.8724225475551846,0,Abnormal,200W_S08_CW_R4_W0622
0.863917306515803,-1.2481293981011319,0,Abnormal,100W_S20_CCW_R4_W0281
0.9451738138686896,-0.6080302514790223,1,Normal,200W_S02_CW_R4_W0430
0.592924528286937,0.044931765131075,1,Normal,100W_S00_CW_R4_W0010
0.4904071615424714,0.4940758070707729,0,Abnormal,200W_S07_CCW_R4_W0592
