class,feature,count,mean,median,q25,q75,min,max
Normal,Gyro_Z_rms,155,106.34935879910378,108.0653203638182,83.24273159113665,128.04816796178676,49.337015489735194,176.60578749548264
Abnormal,Gyro_Z_rms,321,100.03006798647935,107.95759643754789,72.35329007188314,127.13634838807816,51.056750680054726,136.47348524739346
