acc_Sum_rms,acc_Sum_peak,label_binary,class_label,window_id
0.15470767282673592,0.628389716148376,1,Normal,100W_S00_CCW_R4_W0001
0.4095156575354661,1.16884195804596,0,Abnormal,200W_S04_CW_R4_W0526
0.27375094803346617,0.849409639835358,0,Abnormal,200W_S20_CW_R4_W0487
0.20668507431581457,0.85089647769928,0,Abnormal,100W_S18_CW_R4_W0253
0.3074978814220714,0.979548513889313,0,Abnormal,200W_S20_CW_R4_W0495
0.22236386602526767,0.638161242008209,0,Abnormal,100W_S02_CW_R4_W0046
0.24314521670790507,0.746036231517792,0,Abnormal,200W_S20_CW_R4_W0490
0.4813493087106467,1.78460359573364,0,Abnormal,200W_S18_CW_R4_W0394
0.1824673413344462,0.554408550262451,1,Normal,100W_S06_CW_R4_W0133
0.2229088822763186,0.928726732730865,0,Abnormal,200W_S07_CW_R4_W0598
0.4106983526495407,1.13273119926453,1,Normal,200W_S03_CW_R4_W0506
0.20441456122153867,0.750737130641937,0,Abnormal,100W_S18_CCW_R4_W0243
0.14624272574190847,0.51800400018692,0,Abnormal,100W_S09_CW_R4_W0188
1.1015503425599005,3.46357131004334,0,Abnormal,200W_S01_CCW_R4_W0294
0.24766911627786928,1.0148651599884,1,Normal,100W_S01_CW_R4_W0024
0.18494606881376913,0.537316739559174,1,Normal,100W_S06_CW_R4_W0127
0.33411354004867905,0.941250741481781,1,Normal,200W_S03_CW_R4_W0505
0.40145510844706705,1.19627487659454,0,Abnormal,200W_S04_CW_R4_W0535
0.1901927225016006,0.513775408267975,1,Normal,100W_S06_CW_R4_W0131
0.2404993836612822,0.723994851112366,0,Abnormal,100W_S07_CCW_R4_W0137
0.23365376222392173,0.652002274990082,0,Abnormal,100W_S03_CCW_R4_W0054
0.3508543680970733,0.96297824382782,0,Abnormal,200W_S09_CCW_R4_W0628
0.14510581732828706,0.484659224748611,1,Normal,100W_S00_CW_R4_W0010
0.1327957116665668,0.450930595397949,0,Abnormal,100W_S09_CW_R4_W0191
0.24691332238270752,0.907435297966003,1,Normal,200W_S02_CW_R4_W0421
0.2851588788039418,0.90638142824173,0,Abnormal,200W_S09_CCW_R4_W0633
0.2744066306434868,0.781431674957275,0,Abnormal,200W_S04_CCW_R4_W0519
2.1106364817665697,6.72697162628174,0,Abnormal,200W_S01_CW_R4_W0317
1.4774493041089394,5.26806926727295,0,Abnormal,200W_S01_CCW_R4_W0297
0.37061607783156814,1.23114848136902,1,Normal,200W_S02_CW_R4_W0462
0.1746818841026987,0.54369992017746,0,Abnormal,100W_S18_CW_R4_W0246
0.37061607783156814,1.23114848136902,1,Normal,200W_S02_CW_R4_W0446
0.1515891001316631,0.503635406494141,0,Abnormal,100W_S19_CW_R4_W0265
1.202740259637115,3.52946209907532,0,Abnormal,200W_S01_CCW_R4_W0302
0.388298223400573,1.51056373119354,0,Abnormal,200W_S18_CW_R4_W0396
0.2410522314853976,0.760854482650757,1,Normal,200W_S02_CW_R4_W0444
0.29671083966273815,0.849409639835358,0,Abnormal,200W_S20_CW_R4_W0488
0.2069403587703276,0.771572828292847,0,Abnormal,100W_S02_CW_R4_W0047
0.25550181231305735,0.726081311702728,0,Abnormal,200W_S09_CCW_R4_W0630
0.21362011807756306,0.741271018981934,1,Normal,100W_S01_CW_R4_W0027
0.24463576325265643,0.779552936553955,0,Abnormal,200W_S10_CCW_R4_W0328
0.2582182913190832,0.65858405828476,0,Abnormal,100W_S03_CCW_R4_W0059
0.15470767282673592,0.628389716148376,1,Normal,100W_S00_CCW_R4_W0001
0.17692691828584653,0.523717224597931,0,Abnormal,100W_S08_CW_R4_W0164
0.3796168706157367,1.2327082157135,1,Normal,200W_S02_CW_R4_W0450
1.249579862756097,6.0140814781189,0,Abnormal,200W_S01_CW_R4_W0319
0.3921644297198409,1.31940114498138,0,Abnormal,200W_S08_CW_R4_W0618
0.21826915923288845,0.818049788475037,1,Normal,200W_S02_CW_R4_W0470
0.4106983526495407,1.13273119926453,1,Normal,200W_S03_CW_R4_W0506
0.3005354634635564,0.995525062084198,1,Normal,100W_S01_CCW_R4_W0021
0.20201859756208898,0.609872460365295,0,Abnormal,200W_S20_CW_R4_W0486
0.5182883215696577,2.10101962089539,0,Abnormal,200W_S08_CW_R4_W0625
0.3099070253541297,1.1005607843399,0,Abnormal,200W_S10_CCW_R4_W0335
0.28400583048444195,0.852841913700104,0,Abnormal,200W_S09_CCW_R4_W0637
0.22045109600973936,0.779615998268127,0,Abnormal,200W_S06_CW_R4_W0577
0.3958477860715069,1.39445817470551,0,Abnormal,200W_S18_CW_R4_W0392
0.17184804090235403,0.487389355897903,1,Normal,100W_S05_CW_R4_W0110
0.16565108639622156,0.445319950580597,1,Normal,100W_S05_CW_R4_W0107
0.20127132221482377,0.663009941577911,0,Abnormal,200W_S07_CW_R4_W0601
0.3110647563033901,0.848944783210754,1,Normal,200W_S03_CW_R4_W0508
0.4095828531237325,1.59234023094177,0,Abnormal,200W_S08_CW_R4_W0622
0.1607892464269861,0.512004375457764,0,Abnormal,100W_S20_CCW_R4_W0281
0.26409982198605114,0.784655690193176,1,Normal,200W_S02_CW_R4_W0430
0.14510581732828706,0.484659224748611,1,Normal,100W_S00_CW_R4_W0010
0.21010822963133066,0.689734041690826,0,Abnormal,200W_S07_CCW_R4_W0592
0.21503975402661538,0.571981430053711,0,Abnormal,100W_S20_CCW_R4_W0276
1.5480385645738315,4.66037321090698,0,Abnormal,200W_S01_CW_R4_W0318
0.06313945412064444,0.163764953613281,1,Normal,200W_S02_CW_R4_W0473
