acc_Y_rms,acc_Y_kurtosis,label_binary,class_label,window_id
0.09554852566315573,1.7985723302431111,1,Normal,100W_S00_CCW_R4_W0001
0.23932498488184145,0.826001066154658,0,Abnormal,200W_S04_CW_R4_W0526
0.17509699935206327,0.6879202938139244,0,Abnormal,200W_S20_CW_R4_W0487
0.15266941646319365,1.4002026060471335,0,Abnormal,100W_S18_CW_R4_W0253
0.21688256934513825,0.14615731985984848,0,Abnormal,200W_S20_CW_R4_W0495
0.14227766590137847,0.8250780407444354,0,Abnormal,100W_S02_CW_R4_W0046
0.1793101717162243,0.6200058757510725,0,Abnormal,200W_S20_CW_R4_W0490
0.35220983630019914,1.2898010725247708,0,Abnormal,200W_S18_CW_R4_W0394
0.11174496902470389,0.8084821511281723,1,Normal,100W_S06_CW_R4_W0133
0.15831093290900403,2.5671455060248984,0,Abnormal,200W_S07_CW_R4_W0598
0.1893140895008183,0.5889191304641099,1,Normal,200W_S03_CW_R4_W0506
0.15511321814790072,0.7914993400828334,0,Abnormal,100W_S18_CCW_R4_W0243
0.09896261381624145,0.9521129283027996,0,Abnormal,100W_S09_CW_R4_W0188
0.7213795980360517,1.6493101347693697,0,Abnormal,200W_S01_CCW_R4_W0294
0.18317323567376356,0.18918762796235233,1,Normal,100W_S01_CW_R4_W0024
0.10582635996878474,0.6303985069270959,1,Normal,100W_S06_CW_R4_W0127
0.16890833543947772,0.42485998805704694,1,Normal,200W_S03_CW_R4_W0505
0.22977728916858658,1.9355839778176538,0,Abnormal,200W_S04_CW_R4_W0535
0.1154315898988622,0.35518184842721334,1,Normal,100W_S06_CW_R4_W0131
0.10731892761281793,0.9776631477704427,0,Abnormal,100W_S07_CCW_R4_W0137
0.13757625956346486,0.18200042643279168,0,Abnormal,100W_S03_CCW_R4_W0054
0.1880491881051481,-0.10442864822991416,0,Abnormal,200W_S09_CCW_R4_W0628
0.08029530587686706,0.3009556189458693,1,Normal,100W_S00_CW_R4_W0010
0.08703927243054194,0.7289594910683981,0,Abnormal,100W_S09_CW_R4_W0191
0.133939389535762,1.8531542534948917,1,Normal,200W_S02_CW_R4_W0421
0.1599996155320003,0.08323523749251738,0,Abnormal,200W_S09_CCW_R4_W0633
0.18413602633748172,0.6643846908834159,0,Abnormal,200W_S04_CCW_R4_W0519
1.849665491779046,0.8895644254904287,0,Abnormal,200W_S01_CW_R4_W0317
1.31978528231163,2.158065173665686,0,Abnormal,200W_S01_CCW_R4_W0297
0.21983045812166116,0.9301768879024888,1,Normal,200W_S02_CW_R4_W0462
0.12468713592454225,0.6833406361779062,0,Abnormal,100W_S18_CW_R4_W0246
0.21983045812166116,0.9301768879024888,1,Normal,200W_S02_CW_R4_W0446
0.09577974096011976,0.9006099392987013,0,Abnormal,100W_S19_CW_R4_W0265
0.8681202468577075,1.5984785401764023,0,Abnormal,200W_S01_CCW_R4_W0302
0.2622937487737257,1.9824653105861225,0,Abnormal,200W_S18_CW_R4_W0396
0.1533413157194894,2.3642937284869756,1,Normal,200W_S02_CW_R4_W0444
0.175599967838802,0.7106431416205146,0,Abnormal,200W_S20_CW_R4_W0488
0.13378511485825806,0.6669177688962438,0,Abnormal,100W_S02_CW_R4_W0047
0.15872571473316394,0.24726082396269256,0,Abnormal,200W_S09_CCW_R4_W0630
