acc_Y_std,acc_Y_rms,label_binary,class_label,window_id
0.09231751509149358,0.09554852566315573,1,Normal,100W_S00_CCW_R4_W0001
0.23932490018120148,0.23932498488184145,0,Abnormal,200W_S04_CW_R4_W0526
0.17404265607309635,0.17509699935206327,0,Abnormal,200W_S20_CW_R4_W0487
0.14504580339916437,0.15266941646319365,0,Abnormal,100W_S18_CW_R4_W0253
0.21379807289975292,0.21688256934513825,0,Abnormal,200W_S20_CW_R4_W0495
0.14146750416968165,0.14227766590137847,0,Abnormal,100W_S02_CW_R4_W0046
0.17860205376251947,0.1793101717162243,0,Abnormal,200W_S20_CW_R4_W0490
0.34976594208302597,0.35220983630019914,0,Abnormal,200W_S18_CW_R4_W0394
0.10812271542729027,0.11174496902470389,1,Normal,100W_S06_CW_R4_W0133
0.15526379877515664,0.15831093290900403,0,Abnormal,200W_S07_CW_R4_W0598
0.18634572274399,0.1893140895008183,1,Normal,200W_S03_CW_R4_W0506
0.15397526716101448,0.15511321814790072,0,Abnormal,100W_S18_CCW_R4_W0243
0.0940856426776851,0.09896261381624145,0,Abnormal,100W_S09_CW_R4_W0188
0.7199776172616923,0.7213795980360517,0,Abnormal,200W_S01_CCW_R4_W0294
0.1825372113265969,0.18317323567376356,1,Normal,100W_S01_CW_R4_W0024
0.10318391700097278,0.10582635996878474,1,Normal,100W_S06_CW_R4_W0127
0.1684737804552154,0.16890833543947772,1,Normal,200W_S03_CW_R4_W0505
0.2211549033451309,0.22977728916858658,0,Abnormal,200W_S04_CW_R4_W0535
0.11537175242255468,0.1154315898988622,1,Normal,100W_S06_CW_R4_W0131
0.10506663010590851,0.10731892761281793,0,Abnormal,100W_S07_CCW_R4_W0137
0.13585616349905474,0.13757625956346486,0,Abnormal,100W_S03_CCW_R4_W0054
0.18364141270595918,0.1880491881051481,0,Abnormal,200W_S09_CCW_R4_W0628
0.0801838215435325,0.08029530587686706,1,Normal,100W_S00_CW_R4_W0010
0.08270614637992521,0.08703927243054194,0,Abnormal,100W_S09_CW_R4_W0191
0.13267114380768233,0.133939389535762,1,Normal,200W_S02_CW_R4_W0421
0.15900501710690731,0.1599996155320003,0,Abnormal,200W_S09_CCW_R4_W0633
0.1826177586678376,0.18413602633748172,0,Abnormal,200W_S04_CCW_R4_W0519
1.7921027787784383,1.849665491779046,0,Abnormal,200W_S01_CW_R4_W0317
1.184465006008763,1.31978528231163,0,Abnormal,200W_S01_CCW_R4_W0297
0.21646598111137458,0.21983045812166116,1,Normal,200W_S02_CW_R4_W0462
0.1237198435986801,0.12468713592454225,0,Abnormal,100W_S18_CW_R4_W0246
0.21646598111137458,0.21983045812166116,1,Normal,200W_S02_CW_R4_W0446
0.09177231366310978,0.09577974096011976,0,Abnormal,100W_S19_CW_R4_W0265
0.8483073831785363,0.8681202468577075,0,Abnormal,200W_S01_CCW_R4_W0302
0.25962572525173105,0.2622937487737257,0,Abnormal,200W_S18_CW_R4_W0396
0.15256880086688127,0.1533413157194894,1,Normal,200W_S02_CW_R4_W0444
0.1749972650546882,0.175599967838802,0,Abnormal,200W_S20_CW_R4_W0488
0.13263033259312274,0.13378511485825806,0,Abnormal,100W_S02_CW_R4_W0047
0.15750326296297065,0.15872571473316394,0,Abnormal,200W_S09_CCW_R4_W0630
0.1486980422776973,0.14873380789984886,1,Normal,100W_S01_CW_R4_W0027
0.12970492441059192,0.1297205483095035,0,Abnormal,200W_S10_CCW_R4_W0328
0.1596042085188867,0.1596111328729563,0,Abnormal,100W_S03_CCW_R4_W0059
0.09231751509149358,0.09554852566315573,1,Normal,100W_S00_CCW_R4_W0001
0.10334729067023639,0.10415579975921183,0,Abnormal,100W_S08_CW_R4_W0164
0.23010080585503123,0.234369625985735,1,Normal,200W_S02_CW_R4_W0450
0.8806448244118656,0.9035134586932914,0,Abnormal,200W_S01_CW_R4_W0319
0.27694135457112545,0.2812530329242053,0,Abnormal,200W_S08_CW_R4_W0618
0.14698292093021953,0.15216966739383175,1,Normal,200W_S02_CW_R4_W0470
0.18634572274399,0.1893140895008183,1,Normal,200W_S03_CW_R4_W0506
0.18309539149190124,0.18323630227788995,1,Normal,100W_S01_CCW_R4_W0021
0.12952175192853757,0.12964836199682675,0,Abnormal,200W_S20_CW_R4_W0486
0.39126135485819,0.3933872731148747,0,Abnormal,200W_S08_CW_R4_W0625
0.1600075233269389,0.1859705231283428,0,Abnormal,200W_S10_CCW_R4_W0335
0.16185028719526917,0.16233806422408945,0,Abnormal,200W_S09_CCW_R4_W0637
0.1278828894470119,0.12841545634435972,0,Abnormal,200W_S06_CW_R4_W0577
0.2630918492132658,0.2670522968543193,0,Abnormal,200W_S18_CW_R4_W0392
0.09534526435591983,0.09912210321518941,1,Normal,100W_S05_CW_R4_W0110
0.09585129501478677,0.09853212360631326,1,Normal,100W_S05_CW_R4_W0107
0.12106540763302477,0.12273034164341307,0,Abnormal,200W_S07_CW_R4_W0601
0.13199731387249075,0.13512607666540064,1,Normal,200W_S03_CW_R4_W0508
0.30535775146627175,0.3056654583380295,0,Abnormal,200W_S08_CW_R4_W0622
0.09420755202301706,0.09533866058224287,0,Abnormal,100W_S20_CCW_R4_W0281
0.18832769277940542,0.19205122641445202,1,Normal,200W_S02_CW_R4_W0430
0.0801838215435325,0.08029530587686706,1,Normal,100W_S00_CW_R4_W0010
0.12748393297863955,0.13545490318371348,0,Abnormal,200W_S07_CCW_R4_W0592
0.12625274407472498,0.12932065994551292,0,Abnormal,100W_S20_CCW_R4_W0276
