acc_Sum_rms,acc_Sum_kurtosis,label_binary,class_label,window_id
0.15470767282673592,1.871238002910463,1,Normal,100W_S00_CCW_R4_W0001
0.4095156575354661,0.2945201782417257,0,Abnormal,200W_S04_CW_R4_W0526
0.27375094803346617,1.1474014597153728,0,Abnormal,200W_S20_CW_R4_W0487
0.20668507431581457,2.868127771231393,0,Abnormal,100W_S18_CW_R4_W0253
0.3074978814220714,0.4941088675480758,0,Abnormal,200W_S20_CW_R4_W0495
0.22236386602526767,0.8590013983785965,0,Abnormal,100W_S02_CW_R4_W0046
0.24314521670790507,0.8831110182851489,0,Abnormal,200W_S20_CW_R4_W0490
0.4813493087106467,2.093840943818625,0,Abnormal,200W_S18_CW_R4_W0394
0.1824673413344462,0.33234685990261736,1,Normal,100W_S06_CW_R4_W0133
0.2229088822763186,2.2565817082928055,0,Abnormal,200W_S07_CW_R4_W0598
0.4106983526495407,-0.049815506530439535,1,Normal,200W_S03_CW_R4_W0506
0.20441456122153867,1.7103337764317663,0,Abnormal,100W_S18_CCW_R4_W0243
0.14624272574190847,1.7765812432693489,0,Abnormal,100W_S09_CW_R4_W0188
1.1015503425599005,0.4936809258391808,0,Abnormal,200W_S01_CCW_R4_W0294
0.24766911627786928,2.2818336368013448,1,Normal,100W_S01_CW_R4_W0024
0.18494606881376913,0.6830683785603626,1,Normal,100W_S06_CW_R4_W0127
0.33411354004867905,0.42445732978321304,1,Normal,200W_S03_CW_R4_W0505
0.40145510844706705,0.5492262668223789,0,Abnormal,200W_S04_CW_R4_W0535
0.1901927225016006,0.5252500119934802,1,Normal,100W_S06_CW_R4_W0131
0.2404993836612822,0.25904335944498325,0,Abnormal,100W_S07_CCW_R4_W0137
0.23365376222392173,0.806097133515844,0,Abnormal,100W_S03_CCW_R4_W0054
0.3508543680970733,0.0977665827748102,0,Abnormal,200W_S09_CCW_R4_W0628
0.14510581732828706,1.3901076192774013,1,Normal,100W_S00_CW_R4_W0010
0.1327957116665668,1.9236869297451618,0,Abnormal,100W_S09_CW_R4_W0191
0.24691332238270752,2.16697030854942,1,Normal,200W_S02_CW_R4_W0421
0.2851588788039418,1.0836503259855466,0,Abnormal,200W_S09_CCW_R4_W0633
0.2744066306434868,0.5797399217123584,0,Abnormal,200W_S04_CCW_R4_W0519
2.1106364817665697,0.41715765047019104,0,Abnormal,200W_S01_CW_R4_W0317
1.4774493041089394,4.281268291545959,0,Abnormal,200W_S01_CCW_R4_W0297
0.37061607783156814,1.0154808564233786,1,Normal,200W_S02_CW_R4_W0462
0.1746818841026987,1.3535941133802671,0,Abnormal,100W_S18_CW_R4_W0246
0.37061607783156814,1.0154808564233786,1,Normal,200W_S02_CW_R4_W0446
0.1515891001316631,1.4712744397235564,0,Abnormal,100W_S19_CW_R4_W0265
1.202740259637115,0.5952173784730079,0,Abnormal,200W_S01_CCW_R4_W0302
0.388298223400573,1.6552525644926366,0,Abnormal,200W_S18_CW_R4_W0396
0.2410522314853976,1.129575441014425,1,Normal,200W_S02_CW_R4_W0444
0.29671083966273815,0.6503299991255957,0,Abnormal,200W_S20_CW_R4_W0488
0.2069403587703276,2.1581782974621486,0,Abnormal,100W_S02_CW_R4_W0047
0.25550181231305735,0.44405955665379215,0,Abnormal,200W_S09_CCW_R4_W0630
0.21362011807756306,1.965334551847354,1,Normal,100W_S01_CW_R4_W0027
0.24463576325265643,1.1427495821988423,0,Abnormal,200W_S10_CCW_R4_W0328
0.2582182913190832,0.06818279842708819,0,Abnormal,100W_S03_CCW_R4_W0059
0.15470767282673592,1.871238002910463,1,Normal,100W_S00_CCW_R4_W0001
0.17692691828584653,1.4328952456753719,0,Abnormal,100W_S08_CW_R4_W0164
0.3796168706157367,0.7168001737486671,1,Normal,200W_S02_CW_R4_W0450
1.249579862756097,4.064109068891112,0,Abnormal,200W_S01_CW_R4_W0319
0.3921644297198409,1.9463468630764815,0,Abnormal,200W_S08_CW_R4_W0618
0.21826915923288845,0.7195192982109759,1,Normal,200W_S02_CW_R4_W0470
0.4106983526495407,-0.049815506530439535,1,Normal,200W_S03_CW_R4_W0506
0.3005354634635564,1.1659349678575373,1,Normal,100W_S01_CCW_R4_W0021
0.20201859756208898,0.9145786313320619,0,Abnormal,200W_S20_CW_R4_W0486
0.5182883215696577,2.75600965631799,0,Abnormal,200W_S08_CW_R4_W0625
0.3099070253541297,1.536733635736585,0,Abnormal,200W_S10_CCW_R4_W0335
0.28400583048444195,0.602901981069321,0,Abnormal,200W_S09_CCW_R4_W0637
0.22045109600973936,1.6489817243424598,0,Abnormal,200W_S06_CW_R4_W0577
0.3958477860715069,1.3507499399264393,0,Abnormal,200W_S18_CW_R4_W0392
0.17184804090235403,0.7767859360873328,1,Normal,100W_S05_CW_R4_W0110
0.16565108639622156,0.4305151590536376,1,Normal,100W_S05_CW_R4_W0107
0.20127132221482377,1.5144008451302984,0,Abnormal,200W_S07_CW_R4_W0601
0.3110647563033901,-0.13225131784616995,1,Normal,200W_S03_CW_R4_W0508
0.4095828531237325,1.4430421604955228,0,Abnormal,200W_S08_CW_R4_W0622
0.1607892464269861,1.2039372900386782,0,Abnormal,100W_S20_CCW_R4_W0281
0.26409982198605114,0.9646014719053411,1,Normal,200W_S02_CW_R4_W0430
0.14510581732828706,1.3901076192774013,1,Normal,100W_S00_CW_R4_W0010
0.21010822963133066,0.8459998690463957,0,Abnormal,200W_S07_CCW_R4_W0592
0.21503975402661538,0.27710533773426604,0,Abnormal,100W_S20_CCW_R4_W0276
