acc_Sum_rms,class_label,window_id
0.15470767282673592,Normal,100W_S00_CCW_R4_W0001
0.4095156575354661,Abnormal,200W_S04_CW_R4_W0526
0.27375094803346617,Abnormal,200W_S20_CW_R4_W0487
0.20668507431581457,Abnormal,100W_S18_CW_R4_W0253
0.3074978814220714,Abnormal,200W_S20_CW_R4_W0495
0.22236386602526767,Abnormal,100W_S02_CW_R4_W0046
0.24314521670790507,Abnormal,200W_S20_CW_R4_W0490
0.4813493087106467,Abnormal,200W_S18_CW_R4_W0394
0.1824673413344462,Normal,100W_S06_CW_R4_W0133
0.2229088822763186,Abnormal,200W_S07_CW_R4_W0598
0.4106983526495407,Normal,200W_S03_CW_R4_W0506
0.20441456122153867,Abnormal,100W_S18_CCW_R4_W0243
0.14624272574190847,Abnormal,100W_S09_CW_R4_W0188
1.1015503425599005,Abnormal,200W_S01_CCW_R4_W0294
0.24766911627786928,Normal,100W_S01_CW_R4_W0024
0.18494606881376913,Normal,100W_S06_CW_R4_W0127
0.33411354004867905,Normal,200W_S03_CW_R4_W0505
0.40145510844706705,Abnormal,200W_S04_CW_R4_W0535
0.1901927225016006,Normal,100W_S06_CW_R4_W0131
0.2404993836612822,Abnormal,100W_S07_CCW_R4_W0137
0.23365376222392173,Abnormal,100W_S03_CCW_R4_W0054
0.3508543680970733,Abnormal,200W_S09_CCW_R4_W0628
0.14510581732828706,Normal,100W_S00_CW_R4_W0010
0.1327957116665668,Abnormal,100W_S09_CW_R4_W0191
0.24691332238270752,Normal,200W_S02_CW_R4_W0421
0.2851588788039418,Abnormal,200W_S09_CCW_R4_W0633
0.2744066306434868,Abnormal,200W_S04_CCW_R4_W0519
2.1106364817665697,Abnormal,200W_S01_CW_R4_W0317
1.4774493041089394,Abnormal,200W_S01_CCW_R4_W0297
0.37061607783156814,Normal,200W_S02_CW_R4_W0462
0.1746818841026987,Abnormal,100W_S18_CW_R4_W0246
0.37061607783156814,Normal,200W_S02_CW_R4_W0446
0.1515891001316631,Abnormal,100W_S19_CW_R4_W0265
1.202740259637115,Abnormal,200W_S01_CCW_R4_W0302
0.388298223400573,Abnormal,200W_S18_CW_R4_W0396
0.2410522314853976,Normal,200W_S02_CW_R4_W0444
0.29671083966273815,Abnormal,200W_S20_CW_R4_W0488
0.2069403587703276,Abnormal,100W_S02_CW_R4_W0047
0.25550181231305735,Abnormal,200W_S09_CCW_R4_W0630
0.21362011807756306,Normal,100W_S01_CW_R4_W0027
0.24463576325265643,Abnormal,200W_S10_CCW_R4_W0328
0.2582182913190832,Abnormal,100W_S03_CCW_R4_W0059
0.15470767282673592,Normal,100W_S00_CCW_R4_W0001
0.17692691828584653,Abnormal,100W_S08_CW_R4_W0164
0.3796168706157367,Normal,200W_S02_CW_R4_W0450
1.249579862756097,Abnormal,200W_S01_CW_R4_W0319
0.3921644297198409,Abnormal,200W_S08_CW_R4_W0618
