class,feature,count,mean,median,q25,q75,min,max
Normal,acc_X_rms,155,0.12983450026014123,0.13314665416953092,0.09981960312167654,0.15396172778740563,0.036207732024280403,0.24007097765614618
Abnormal,acc_X_rms,321,0.1922466115989362,0.13406888999905764,0.11376046402348435,0.16410012169212604,0.06569762416270582,1.0181014596440432
