class,feature,count,mean,median,q25,q75,min,max
Normal,acc_Z_rms,155,0.1473704184463875,0.1303290561296939,0.09934060773842052,0.1891344183705036,0.03709233449709319,0.2937163811808932
Abnormal,acc_Z_rms,321,0.2243512678258165,0.15062509263418242,0.11442744324070563,0.2003843645798818,0.06520592066999197,1.1874016619062686
