Gyro_X_rms,class_label,window_id
0.4135836674567508,Normal,100W_S00_CCW_R4_W0001
1.1870487041102107,Abnormal,200W_S04_CW_R4_W0526
1.0558932076578262,Abnormal,200W_S20_CW_R4_W0487
0.8703475869299296,Abnormal,100W_S18_CW_R4_W0253
1.5766817654578622,Abnormal,200W_S20_CW_R4_W0495
0.4920663184007107,Abnormal,100W_S02_CW_R4_W0046
0.8612914817470381,Abnormal,200W_S20_CW_R4_W0490
0.3468115314818629,Abnormal,200W_S18_CW_R4_W0394
0.31377894604438805,Normal,100W_S06_CW_R4_W0133
0.7861467443590988,Abnormal,200W_S07_CW_R4_W0598
1.352338520195071,Normal,200W_S03_CW_R4_W0506
0.3919357836429542,Abnormal,100W_S18_CCW_R4_W0243
0.433822770647436,Abnormal,100W_S09_CW_R4_W0188
0.7284800567132111,Abnormal,200W_S01_CCW_R4_W0294
0.37935388638576967,Normal,100W_S01_CW_R4_W0024
0.4930427597161399,Normal,100W_S06_CW_R4_W0127
0.810902097569099,Normal,200W_S03_CW_R4_W0505
1.357056221043136,Abnormal,200W_S04_CW_R4_W0535
0.4548774617913105,Normal,100W_S06_CW_R4_W0131
0.712474262961795,Abnormal,100W_S07_CCW_R4_W0137
0.9019629911507054,Abnormal,100W_S03_CCW_R4_W0054
0.8223070938728679,Abnormal,200W_S09_CCW_R4_W0628
0.5827870894111837,Normal,100W_S00_CW_R4_W0010
0.34977856240241073,Abnormal,100W_S09_CW_R4_W0191
0.6552538939005681,Normal,200W_S02_CW_R4_W0421
0.9265936388529262,Abnormal,200W_S09_CCW_R4_W0633
0.7018703453641428,Abnormal,200W_S04_CCW_R4_W0519
2.236232383728404,Abnormal,200W_S01_CW_R4_W0317
1.4229962097083244,Abnormal,200W_S01_CCW_R4_W0297
0.9812532160535089,Normal,200W_S02_CW_R4_W0462
0.7381263884942096,Abnormal,100W_S18_CW_R4_W0246
0.9812532160535089,Normal,200W_S02_CW_R4_W0446
0.48803628311062147,Abnormal,100W_S19_CW_R4_W0265
0.7042412145344251,Abnormal,200W_S01_CCW_R4_W0302
1.1132018275420912,Abnormal,200W_S18_CW_R4_W0396
