acc_X_rms,class_label,window_id
0.0864871787452662,Normal,100W_S00_CCW_R4_W0001
0.17958410341263836,Abnormal,200W_S04_CW_R4_W0526
0.1388240196170379,Abnormal,200W_S20_CW_R4_W0487
0.08858837143684285,Abnormal,100W_S18_CW_R4_W0253
0.14805627950884878,Abnormal,200W_S20_CW_R4_W0495
0.1227033426559675,Abnormal,100W_S02_CW_R4_W0046
0.1264225777819618,Abnormal,200W_S20_CW_R4_W0490
0.2152803855731888,Abnormal,200W_S18_CW_R4_W0394
0.10508498992876515,Normal,100W_S06_CW_R4_W0133
0.12256347738045231,Abnormal,200W_S07_CW_R4_W0598
0.23019478096984053,Normal,200W_S03_CW_R4_W0506
0.09031714376113156,Abnormal,100W_S18_CCW_R4_W0243
0.06944993259040555,Abnormal,100W_S09_CW_R4_W0188
0.6159577499484321,Abnormal,200W_S01_CCW_R4_W0294
0.1307087756050879,Normal,100W_S01_CW_R4_W0024
0.11133708138391327,Normal,100W_S06_CW_R4_W0127
0.20360812290708763,Normal,200W_S03_CW_R4_W0505
0.18176644224603378,Abnormal,200W_S04_CW_R4_W0535
0.11278232429266398,Normal,100W_S06_CW_R4_W0131
0.1458431689993165,Abnormal,100W_S07_CCW_R4_W0137
0.12211125834431366,Abnormal,100W_S03_CCW_R4_W0054
0.192114287923563,Abnormal,200W_S09_CCW_R4_W0628
0.09707788385018848,Normal,100W_S00_CW_R4_W0010
0.07072684264430504,Abnormal,100W_S09_CW_R4_W0191
0.14597633150041187,Normal,200W_S02_CW_R4_W0421
0.16760673556466582,Abnormal,200W_S09_CCW_R4_W0633
0.14650032600217647,Abnormal,200W_S04_CCW_R4_W0519
0.8924787593790744,Abnormal,200W_S01_CW_R4_W0317
0.5561413710807809,Abnormal,200W_S01_CCW_R4_W0297
0.16419632635861664,Normal,200W_S02_CW_R4_W0462
0.08826501278798045,Abnormal,100W_S18_CW_R4_W0246
0.16419632635861664,Normal,200W_S02_CW_R4_W0446
0.07095390518569622,Abnormal,100W_S19_CW_R4_W0265
0.6365528845309271,Abnormal,200W_S01_CCW_R4_W0302
0.20003746135907513,Abnormal,200W_S18_CW_R4_W0396
0.13578969826719262,Normal,200W_S02_CW_R4_W0444
0.15677524501982662,Abnormal,200W_S20_CW_R4_W0488
0.11486316447117592,Abnormal,100W_S02_CW_R4_W0047
0.14832508541025036,Abnormal,200W_S09_CCW_R4_W0630
0.12235058130627388,Normal,100W_S01_CW_R4_W0027
0.11723501622470128,Abnormal,200W_S10_CCW_R4_W0328
0.13309452888341758,Abnormal,100W_S03_CCW_R4_W0059
0.0864871787452662,Normal,100W_S00_CCW_R4_W0001
0.10633665553185354,Abnormal,100W_S08_CW_R4_W0164
0.1649398279704626,Normal,200W_S02_CW_R4_W0450
0.6186003698678028,Abnormal,200W_S01_CW_R4_W0319
0.1855439483333848,Abnormal,200W_S08_CW_R4_W0618
0.13314665416953092,Normal,200W_S02_CW_R4_W0470
0.23019478096984053,Normal,200W_S03_CW_R4_W0506
0.1539360057391721,Normal,100W_S01_CCW_R4_W0021
0.11377000189730013,Abnormal,200W_S20_CW_R4_W0486
0.22948228847815982,Abnormal,200W_S08_CW_R4_W0625
0.15525537610832288,Abnormal,200W_S10_CCW_R4_W0335
0.15916044515386998,Abnormal,200W_S09_CCW_R4_W0637
0.13962320188793248,Abnormal,200W_S06_CW_R4_W0577
0.19957988823736894,Abnormal,200W_S18_CW_R4_W0392
0.09253951095372683,Normal,100W_S05_CW_R4_W0110
0.09347746041232545,Normal,100W_S05_CW_R4_W0107
