,label_binary_x,acc_X_mean,acc_X_std,acc_X_rms,acc_X_peak,acc_X_crest,acc_X_kurtosis,acc_X_skewness,acc_Y_mean,acc_Y_std,acc_Y_rms,acc_Y_peak,acc_Y_crest,acc_Y_kurtosis,acc_Y_skewness,acc_Z_mean,acc_Z_std,acc_Z_rms,acc_Z_peak,acc_Z_crest,acc_Z_kurtosis,acc_Z_skewness,Gyro_X_mean,Gyro_X_std,Gyro_X_rms,Gyro_X_peak,Gyro_X_crest,Gyro_X_kurtosis,Gyro_X_skewness,Gyro_Y_mean,Gyro_Y_std,Gyro_Y_rms,Gyro_Y_peak,Gyro_Y_crest,Gyro_Y_kurtosis,Gyro_Y_skewness,Gyro_Z_mean,Gyro_Z_std,Gyro_Z_rms,Gyro_Z_peak,Gyro_Z_crest,Gyro_Z_kurtosis,Gyro_Z_skewness,acc_Sum_mean,acc_Sum_std,acc_Sum_rms,acc_Sum_peak,acc_Sum_crest,acc_Sum_kurtosis,acc_Sum_skewness,label_binary_y
count,898.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,898.0
mean,0.4365256124721604,0.005017583419951544,0.15527874739319592,0.15635269064493476,0.6010618547252112,3.8866592827035515,0.3700455994068721,0.01006012766438525,0.014998816972088611,0.2113837224826132,0.21522606018257048,0.9528350488642071,4.594514507500434,1.2871779163938892,-0.1333568165528398,0.004843960784770334,0.17639932234485822,0.17714777712840424,0.7304405164899657,4.139689995975154,0.8906796857412651,0.04477158095918611,-0.11553980208324449,1.6147236467184776,1.9577279538687395,4.070371078124059,1.743804311697064,-0.7671807636320778,-0.07863168054503851,0.3778672641256797,1.0465618216899275,1.4431821758607701,2.5000482595476443,1.7958092572048259,-0.8944078309901753,0.07728338864274739,3.57211749380615,85.5427135970732,100.18561812633727,188.37678706337553,1.9062944162876236,-0.7835227299319201,0.03664117479527079,0.2756664801355952,0.1598142815379462,0.31965260789788735,1.0564132579031358,3.3290905909312034,1.2866691425500008,0.9930896259661324,0.4365256124721604
std,0.4962310120216107,0.020920924892497212,0.1222785961735032,0.12280021705934753,0.4647768835793945,0.505377967890758,0.7797986213633817,0.22412972209655968,0.0722938768085119,0.32273538523039025,0.3285859500641391,1.266871849554741,0.8439635851458871,1.4338617628176908,0.330294473616407,0.014147547652874468,0.15429166720471005,0.15415787377325002,0.6272357437155162,0.5696990254688894,0.7114785467792515,0.23873487416444605,5.49995233070995,9.626314903462156,11.031864417977975,25.500583143438394,0.33311877261210787,1.0613366285023875,0.7221837441111049,3.7049702163298,4.331012750515849,5.62484000075262,9.510627180502864,0.37909603810248443,0.8068730554499439,0.6078910118663392,49.78501625337872,33.74862566031631,30.126850568314758,50.66260761875907,0.19051026404569618,1.1071188816166408,0.653727772623498,0.28743770876469793,0.20953651423003064,0.3547958339424893,1.0865977046478983,0.47994090509019216,1.2029858627596812,0.2850337338121386,0.4962310120216107
min,0.0,-0.04255981199688729,0.036166144521331565,0.036207732024280403,0.124634444713593,2.6838553054738945,-0.6178933571904377,-1.144590350985929,-0.08069882750415533,0.0339003432583482,0.033928037858247155,0.111801460385323,3.1919189069144416,-0.19659189828251833,-0.9781275545446841,-0.06383786920322132,0.037026564789312655,0.03709233449709319,0.118990734219551,3.1414828152743364,-0.22023346995372917,-0.7003939632032912,-57.65083030425012,0.010400102320872682,0.1752125029076605,0.302097797393799,1.00782815188915,-1.736096933642257,-2.4830085402894406,-37.7587851391022,0.007109687326441072,0.1890041415965454,0.378977924585342,1.0129075485097812,-1.7818198188555885,-1.7402946820575165,-105.75613939544021,0.007995882210642803,49.337015489735194,89.8014373779297,1.0000910754567416,-1.9414764118727121,-2.4771073810205544,0.05757871785854718,0.0231579380151956,0.062413281829958284,0.141130849719048,2.2612310325797575,-0.2618633515646831,0.4451705182177675,0.0
25%,0.0,-0.008562907386840733,0.10488795911662543,0.10508498992876515,0.405318468809128,3.5843336592392645,0.02159927719714272,-0.1233370016435499,-0.016621108967891374,0.1123296411497401,0.11531086212749904,0.528936505317688,4.009859706970112,0.5117686898110501,-0.325553862940247,-0.0034525185459122177,0.10353175423609104,0.10464820298702564,0.428783714771271,3.7537650319990954,0.471389409813757,-0.0929773302824242,-0.4784764248004265,0.3442241903473517,0.4448544087627794,0.794869720935822,1.545439933337046,-1.4568608345723648,-0.5216651571286297,0.01791342078642802,0.3521220105895151,0.4347598766773366,0.827565133571625,1.535088134018468,-1.4166890263050447,-0.39180590578904784,-34.40768772429419,51.63265426008335,70.51362201663719,138.970611572266,1.810046718845036,-1.2146360387923565,-0.056964076186567056,0.1698555751360118,0.08685255082218579,0.18829557930038346,0.628389716148376,3.0124659162793552,0.6386518385300448,0.8364816116592012,0.0
50%,0.0,0.0058848277617940025,0.1314283350732835,0.13275699076616176,0.510051429271698,3.8163635250829593,0.23835166640820127,0.019047513966127236,0.005144820467927136,0.14698292093021953,0.15066818356314732,0.675208389759064,4.447208667392135,0.9190968484300956,-0.10562810703569196,0.0056176715304304655,0.13881077246461349,0.1388537015586281,0.582939803600311,4.066940141043608,0.7566504513805898,0.03648501067883327,-0.15342302674442543,0.4917481173120704,0.6367965100800852,1.05779826641083,1.662368022977043,-1.1900711937355746,0.05017764218234096,0.24666745213509245,0.4752591569697138,0.6450952186042771,1.10977494716644,1.7048077445233245,-1.07587083336186,0.042414826859974074,-3.576955474197348,77.44447241733552,103.50429305629949,229.193634033203,1.9102089197591825,-1.184791948640531,0.013140884683827856,0.21802992312268543,0.11518748586942669,0.24691332238270752,0.803491652011871,3.271129506934791,1.0727276215856891,0.9585447948671234,0.0
75%,1.0,0.014447632899996423,0.1539348716358444,0.1539874498356392,0.601784646511078,4.093742808134708,0.5097663753436201,0.16600247879871283,0.023022064920706017,0.18170362597179013,0.18323630227788995,0.827716648578644,4.87889980895424,1.7985723302431111,0.06171139755989844,0.014408689452493297,0.18716106077667863,0.18742010034707354,0.784091055393219,4.372282364801969,1.1267009033400806,0.16106347935405396,0.13779409191760641,0.7179356173296704,0.9337122698925892,1.49395096302032,1.87510396980512,-0.5100694389474065,0.33734733790341237,0.7274153409555382,0.7213735244794752,1.1211921601445505,1.85705471038818,1.9789997575148839,-0.582489162083152,0.42444179187327435,38.972163557074964,119.14763138114013,125.98864572288159,234.062652587891,1.9952086429318538,-0.8086381275863803,0.21280271439324042,0.2735100613481336,0.1432639863160062,0.30930729425663667,1.02351772785187,3.54638781366621,1.6579373342996453,1.1072507681331025,1.0
max,1.0,0.1659543425221356,1.0175349274073378,1.0181014596440432,4.68804883956909,6.659609907476359,8.359373001014841,0.5935102152291263,0.607488782785083,2.515490790240642,2.5872430975967835,9.42702865600586,9.819595437483967,16.238474233925313,0.8078456746694951,0.07854708052694191,1.1874015389372798,1.1874016619062686,4.4273567199707,9.144513227170792,5.927155920754153,1.13134537598288,59.20126675348729,95.91969915542099,102.40689377204457,233.638778686523,3.596282917322809,6.628731321873431,2.5537738446938585,38.135605566696086,43.69805348037353,51.710029619141764,87.5197219848633,3.5369315939917256,6.3822736762902945,2.5794445882707944,176.6057873144746,157.15333503241155,176.60578749548264,236.551635742188,2.9840308437341454,4.259391350677538,1.6975268506183117,2.2331254301231525,1.608540666761351,2.7157488077555727,7.8650336265564,5.955532521124446,10.271999371245993,3.0509047961422167,1.0
