feature,class,mean,median,std,min,q25,q75,max,count
acc_X_rms,Abnormal,0.1922466115989362,0.13406888999905764,0.18311847884435756,0.06569762416270582,0.11376046402348435,0.16410012169212604,1.0181014596440432,321
acc_X_rms,Normal,0.12983450026014123,0.13314665416953092,0.041689436081260266,0.036207732024280403,0.09981960312167654,0.15396172778740563,0.24007097765614618,155
acc_Y_rms,Abnormal,0.31898207362184744,0.15419838445135903,0.5188744768698677,0.06419179594466502,0.12906246208663222,0.19231847953064424,2.5872430975967835,321
acc_Y_rms,Normal,0.1433900927289827,0.14873380789984886,0.045862349963590676,0.033928037858247155,0.10970308635885315,0.17736711533181154,0.234369625985735,155
acc_Z_rms,Abnormal,0.2243512678258165,0.15062509263418242,0.23390504026486222,0.06520592066999197,0.11442744324070563,0.2003843645798818,1.1874016619062686,321
acc_Z_rms,Normal,0.1473704184463875,0.1303290561296939,0.06719720662556315,0.03709233449709319,0.09934060773842052,0.1891344183705036,0.2937163811808932,155
Gyro_X_rms,Abnormal,0.7976626406963776,0.7350362517276067,0.3827918406218629,0.1752125029076605,0.4973861675136722,0.9919003056146234,2.236232383728404,321
Gyro_X_rms,Normal,0.7209047463455733,0.5550357499370665,0.44581065980883483,0.2746634764483755,0.4301101177689449,0.9337122698925892,2.312587792468248,155
Gyro_Y_rms,Abnormal,1.003400251175818,0.798542788575284,0.7779295038051187,0.1890041415965454,0.46499356831049254,1.3017683062204148,4.75926965534182,321
Gyro_Y_rms,Normal,0.722077955248887,0.597019450405893,0.36903945216058875,0.22523523702717924,0.44199898325898135,1.0059567287417452,1.5401595272310082,155
Gyro_Z_rms,Abnormal,100.03006798647935,107.95759643754789,27.718136671562135,51.056750680054726,72.35329007188314,127.13634838807816,136.47348524739346,321
Gyro_Z_rms,Normal,106.34935879910378,108.0653203638182,33.23495880667511,49.337015489735194,83.24273159113665,128.04816796178676,176.60578749548264,155
acc_Sum_rms,Abnormal,0.430257834746997,0.24923743438952342,0.553547464364674,0.11815209395696571,0.21159154896067106,0.30930729425663667,2.7157488077555727,321
acc_Sum_rms,Normal,0.24455398887491417,0.24495955020073282,0.08436033262401169,0.062413281829958284,0.1824673413344462,0.31823430976533995,0.4222843034958011,155
