,acc_X_mean,acc_X_std,acc_X_rms,acc_X_peak,acc_X_crest,acc_X_kurtosis,acc_X_skewness,acc_Y_mean,acc_Y_std,acc_Y_rms,acc_Y_peak,acc_Y_crest,acc_Y_kurtosis,acc_Y_skewness,acc_Z_mean,acc_Z_std,acc_Z_rms,acc_Z_peak,acc_Z_crest,acc_Z_kurtosis,acc_Z_skewness,Gyro_X_mean,Gyro_X_std,Gyro_X_rms,Gyro_X_peak,Gyro_X_crest,Gyro_X_kurtosis,Gyro_X_skewness,Gyro_Y_mean,Gyro_Y_std,Gyro_Y_rms,Gyro_Y_peak,Gyro_Y_crest,Gyro_Y_kurtosis,Gyro_Y_skewness,Gyro_Z_mean,Gyro_Z_std,Gyro_Z_rms,Gyro_Z_peak,Gyro_Z_crest,Gyro_Z_kurtosis,Gyro_Z_skewness,acc_Sum_mean,acc_Sum_std,acc_Sum_rms,acc_Sum_peak,acc_Sum_crest,acc_Sum_kurtosis,acc_Sum_skewness
count,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0
mean,0.005483556578372533,0.16242021147468816,0.16364701231886314,0.6300893999822712,3.8932117013773175,0.36992790134328524,-0.0018571444616266616,0.018565002978530653,0.23252671989268195,0.2370178641408566,1.0304972176743186,4.519325110737859,1.216417885595767,-0.08098438372441111,0.003772688011475556,0.18432442392240747,0.1850851314698102,0.7633317235599387,4.1436029057630845,0.9076101585727634,0.05057421808301347,-0.08262924729882826,1.9634708125834037,2.3587283276878197,4.985229462297391,1.7378859546665346,-0.7598084554840678,-0.0500064070201795,0.38660363606541925,1.2258890673067004,1.684109513964397,2.9130975357826046,1.7811947869032798,-0.8748599704698092,0.0630576054788683,2.2831772343965073,87.16616687046059,101.30598862018942,191.60227161795126,1.9159128668159915,-0.7494193075207537,0.02663764215069745,0.29316583829754184,0.17267175267567803,0.341419200311112,1.1208330363210772,3.3032389029779647,1.2971743812051744,0.9998624502969232
std,0.0230702743658804,0.13770387249552865,0.13828990656490292,0.5243199142623519,0.5311728609112283,0.7590422230888598,0.22286754055972485,0.08150639884004088,0.36606973166619583,0.37267090898744004,1.435001373832385,0.7883689678045809,1.3289331557438657,0.31642819737877625,0.014935334413761155,0.17222911265322452,0.17210101254001334,0.6991445296691973,0.5712512099131889,0.7078919629210644,0.23429943527409577,6.2880263460353625,10.992731752282891,12.59664093875066,29.121853307010397,0.3540467045941034,1.0246026428685016,0.7145741263095752,4.2341862945152355,4.941497754605966,6.415686160164735,10.848348303141023,0.38100949755072216,0.882192789868384,0.6251819749202069,49.11283797382677,33.08255249562702,29.031937819264424,49.08807586955857,0.18869737514641471,1.0938218909896424,0.6819657884573275,0.3249379035352776,0.23726593467414328,0.4013393198876068,1.228074194675763,0.48781542499177954,1.2512317322893205,0.28995036637757077
min,-0.04255981199688729,0.036166144521331565,0.036207732024280403,0.124634444713593,2.6838553054738945,-0.6178933571904377,-1.144590350985929,-0.08069882750415533,0.0339003432583482,0.033928037858247155,0.111801460385323,3.1919189069144416,-0.19659189828251833,-0.9781275545446841,-0.06383786920322132,0.037026564789312655,0.03709233449709319,0.118990734219551,3.1414828152743364,-0.22023346995372917,-0.7003939632032912,-57.65083030425012,0.010400102320872682,0.1752125029076605,0.302097797393799,1.00782815188915,-1.736096933642257,-2.4830085402894406,-37.7587851391022,0.007109687326441072,0.1890041415965454,0.378977924585342,1.0129075485097812,-1.7818198188555885,-1.7402946820575165,-105.75613939544021,0.007995882210642803,49.337015489735194,89.8014373779297,1.0000910754567416,-1.9414764118727121,-2.4771073810205544,0.05757871785854718,0.0231579380151956,0.062413281829958284,0.141130849719048,2.2612310325797575,-0.2618633515646831,0.4451705182177675
25%,-0.009830346442772475,0.10488795911662543,0.10508498992876515,0.402518540620804,3.5541303221577643,-0.00772190828532171,-0.12812315219454903,-0.017879402846218355,0.11519913334637326,0.1179554870699012,0.5256708860397334,4.003846941412328,0.48732644369703926,-0.250853190568457,-0.006088601981820984,0.10457528562682719,0.10560858501671111,0.445526033639908,3.7710803583163557,0.4863150750109244,-0.09180019766585829,-0.4649356114355214,0.3432079585998615,0.46651285372673285,0.802016884088516,1.5321163290005213,-1.4373222749828178,-0.49685878831928587,0.0010435697763462315,0.3521220105895151,0.44199898325898135,0.827397346496582,1.5258746879191931,-1.4172262692146156,-0.39190217249473847,-38.98516725920797,52.57722151873048,73.8125507641851,143.208145141602,1.820431566199517,-1.213972036539779,-0.16117305913522212,0.17406982979253627,0.08844724767973869,0.19660717731851513,0.6315291821956635,2.973711631137456,0.6270118424491087,0.8401155126717433
50%,0.003255808017288854,0.12854551828448402,0.1307087756050879,0.504836142063141,3.815869246210826,0.2211316134073269,0.0073540286979936415,0.0030198683624753564,0.14706304517724791,0.15098117295475585,0.663175940513611,4.383743417111693,0.9033857344736513,-0.07034153066153007,0.004219084786922126,0.13895391152995223,0.13923186525780343,0.582939803600311,4.066940141043608,0.7564246153220728,0.03277536970064487,-0.13299305819771612,0.5100255751749635,0.6673406790029586,1.10500609874725,1.6512106548892804,-1.158501765238924,0.038121009877712095,0.27398485406973805,0.5042708028161796,0.6786802925473409,1.20825242996216,1.6829768957721856,-1.104525725888597,0.02228417201160031,1.8407698879018497,82.56025033981457,108.0653203638182,229.928039550781,1.9174359042072397,-1.1866535066321062,0.002903283778927729,0.21591151974200784,0.11345204835815566,0.24433687366840837,0.78316992521286,3.2049711246825243,1.0418639498093265,0.9447133902517074
75%,0.015671894015562682,0.15624587391551173,0.15764913368196998,0.6310673356056216,4.142139209538069,0.5379930176345762,0.14622626657048224,0.026984373187236062,0.1825372113265969,0.18589270350281573,0.8389030992984775,4.8293377062065925,1.6351278336540327,0.0906847033721126,0.013917884318346004,0.18857730587014704,0.1885792255266094,0.7550850808620455,4.370605774565571,1.1010664922666713,0.17323603795619466,0.1693165236510863,0.7466422251251995,0.9510985892698911,1.527508616447445,1.8480609688024727,-0.412820186561039,0.37601119454246223,0.8196343242472697,0.7632510843902232,1.2125681913642077,1.90184080600739,1.9434064448225206,-0.6019226699208744,0.4216867319404648,39.34011313343944,120.05712451833031,126.6803357505056,234.230094909668,1.9965066153175224,-0.6122542092470467,0.2663770719654585,0.27177076484897356,0.14369130756125115,0.3078751840685212,1.023521542549135,3.5339808431109416,1.6057841373686959,1.100310341259494
max,0.1659543425221356,1.0175349274073378,1.0181014596440432,4.68804883956909,6.659609907476359,8.359373001014841,0.5935102152291263,0.607488782785083,2.515490790240642,2.5872430975967835,9.42702865600586,9.819595437483967,16.238474233925313,0.8078456746694951,0.07854708052694191,1.1874015389372798,1.1874016619062686,4.4273567199707,9.144513227170792,5.927155920754153,1.13134537598288,59.20126675348729,95.91969915542099,102.40689377204457,233.638778686523,3.596282917322809,6.628731321873431,2.5537738446938585,38.135605566696086,43.69805348037353,51.710029619141764,87.5197219848633,3.5369315939917256,6.3822736762902945,2.5794445882707944,176.6057873144746,157.15333503241155,176.60578749548264,236.551635742188,2.9840308437341454,4.259391350677538,1.6975268506183117,2.2331254301231525,1.608540666761351,2.7157488077555727,7.8650336265564,5.955532521124446,10.271999371245993,3.0509047961422167
