window_id,product,label_binary,acc_Y_rms_low,acc_Y_rms_mid,acc_Y_rms_high,acc_Sum_rms_low,acc_Sum_rms_mid,acc_Sum_rms_high,Gyro_Y_rms_low,Gyro_Y_rms_mid,Gyro_Y_rms_high
100W_S05_CCW_R4_W0096,100W,1,0.03906003749938108,0.07276641710849514,0.0598561084668538,0.026098630384686572,0.05454970958721111,0.0414838526844314,0.009187690233872855,0.002647518280804035,0.0010897584895088587
100W_S01_CW_R4_W0027,100W,1,0.03876252657855852,0.10186390093593016,0.07461867239194761,0.04031148323331189,0.05432143915498839,0.06017268854071071,0.01292649302252098,0.0050082713111350985,0.00180726268573765
100W_S06_CW_R4_W0127,100W,1,0.04352417292626999,0.05627191165661783,0.06019968472528083,0.03506848718645396,0.04799295863629547,0.046402800339533846,0.011618822882593152,0.0033069545604086136,0.0012214152083832115
100W_S05_CW_R4_W0104,100W,1,0.042458379309975314,0.0610022624483212,0.05827291276788558,0.03535600802328582,0.046996003140142566,0.04146215982671723,0.009949274517457014,0.002886696880631141,0.001040016260752074
100W_S00_CW_R4_W0010,100W,1,0.026786957041988028,0.053192163269022125,0.04377394818313445,0.022100491010439084,0.038506236827411805,0.036393866189377885,0.0067587130861439465,0.002695474346346281,0.001032991147476063
200W_S02_CW_R4_W0467,200W,1,0.042518650673659245,0.09242243661050306,0.14948871682720707,0.048719343511771186,0.10601002079569671,0.09797822077230244,0.010847870103186615,0.00434440928891974,0.0016147472199496238
100W_S00_CCW_R4_W0002,100W,1,0.023336874523531212,0.06366396694346986,0.07326044403366706,0.02922284380271669,0.045662673910520736,0.04362384239615017,0.007980334418288852,0.002574742842673885,0.0011540801934251143
200W_S02_CW_R4_W0437,200W,1,0.011365713236995346,0.0214880994917455,0.021217858292658563,0.007536935957712513,0.014435104558084165,0.015776691824675365,0.0013403269395251625,0.0005581489187942602,0.0002456813553391838
100W_S01_CW_R4_W0024,100W,1,0.04356544699628378,0.1297295071998417,0.09721601558118215,0.03381250297894345,0.06516089578048354,0.0719198439053294,0.01713947361707482,0.005454466748619106,0.0023037749260889427
200W_S02_CW_R4_W0447,200W,1,0.033898290702890445,0.08898513398211089,0.12881582423851073,0.03970282474310774,0.10389056727062881,0.08928328020774556,0.009485840751126498,0.0036534021721776654,0.0013732967914872037
100W_S06_CW_R4_W0124,100W,1,0.047999038231599504,0.07078476236077619,0.07545160512032699,0.043008443382887736,0.05036078939932029,0.0543065034337355,0.013132703250426408,0.0037594765384699217,0.001368265250170748
200W_S02_CW_R4_W0450,200W,1,0.03230070519280551,0.11477703109352122,0.18872444110977274,0.047465911500138444,0.10725977073266002,0.10828055084465892,0.015159326140420707,0.00539669175753672,0.0021714589557139076
200W_S02_CW_R4_W0447,200W,1,0.033898290702890445,0.08898513398211089,0.12881582423851073,0.03970282474310774,0.10389056727062881,0.08928328020774556,0.009485840751126498,0.0036534021721776654,0.0013732967914872037
200W_S02_CW_R4_W0430,200W,1,0.03636509184524931,0.10882056003476935,0.1396224504846511,0.03363659406362296,0.05878201294048773,0.07845997561515128,0.013301005421018464,0.004066492792147197,0.0016896298827545034
100W_S01_CCW_R4_W0018,100W,1,0.0658352013448837,0.1194594659710448,0.08937289191756057,0.040348508727987405,0.08906036831973184,0.06650892452357468,0.015609273147564174,0.0049912865825734514,0.0018783321729383628
200W_S02_CW_R4_W0462,200W,1,0.0690804397004498,0.11431291319280734,0.1740421973646543,0.0480226077730795,0.1053289363252803,0.10392692714940534,0.01296759919271475,0.004684213544244658,0.0020530643780145214
