feature,normal_mean,normal_median,normal_std,abnormal_mean,abnormal_median,abnormal_std,ratio_mean,ratio_median
acc_Y_rms_high,0.09418218149751767,0.08754526731453531,0.04458971910099053,0.2544763783233172,0.10084028888652667,0.48699179022283684,2.7019588448375913,1.1518645379678218
Gyro_Y_rms_mid,0.003434780972887647,0.0036258646912465053,0.0012534207481576718,0.007458655751426008,0.003973680624254876,0.013090116904115693,2.1715084048446496,1.0959263410595717
Gyro_Y_rms_low,0.010380137000661439,0.01059708622987771,0.003737213881724034,0.022473546387169547,0.012272738559156915,0.03957513650066324,2.1650529646899166,1.1581238741414435
Gyro_Y_rms_high,0.0013707627214045177,0.001377970796267432,0.0005188826193980217,0.002925796550416118,0.0015789275837509785,0.0052354220905736285,2.1344296169786947,1.1458353021906462
acc_Y_rms_low,0.03686243459602288,0.0343826226479402,0.014572756673948552,0.06345213452115643,0.038993828042422796,0.0807190740230948,1.7213224035941004,1.1341144170908335
acc_Sum_rms_high,0.060814512694955185,0.06357102655422878,0.024075212252159965,0.10236335299214042,0.06261535985253872,0.11743859902007098,1.683206005540054,0.9849669455805494
acc_Sum_rms_low,0.035839508737496716,0.03506848718645396,0.0154447587456457,0.05797279106019496,0.038149005748252966,0.06398037712086857,1.6175665655690623,1.0878429270535779
acc_Y_rms_mid,0.08119170452484273,0.08388552969699789,0.02796550467687385,0.12243284014283234,0.0856343238682606,0.12212201812817199,1.5079476512944843,1.0208473878341058
acc_Sum_rms_mid,0.06639117698945879,0.06383190109097739,0.029517724596378535,0.08199522256464242,0.06816042335085822,0.05105310909454977,1.2350319166304455,1.067811269692744
