feature,band,sensor,normal_mean,normal_median,normal_std,abnormal_mean,abnormal_median,abnormal_std,ratio_mean,ratio_median,normal_100w_mean,abnormal_100w_mean,ratio_100w,normal_200w_mean,abnormal_200w_mean,ratio_200w
acc_Y_rms_high,high,acc_Y,0.09744330598862312,0.08937289191756057,0.03878008438666157,0.2544763783233172,0.10084028888652667,0.4869917902228366,2.611532682943129,1.1283095659424769,0.07089870625870544,0.0736663382098128,1.039036423894795,0.12216208668949884,0.39256756280560917,3.2134975215625112
Gyro_Y_rms_low,low,Gyro_Y,0.01074829796292043,0.010625024423517728,0.0031240884256455072,0.022473546387169547,0.012272738559156915,0.039575136500663244,2.090893503762082,1.1550786209951753,0.01071482078174632,0.010761677025008477,1.0043730309835868,0.010779472480839183,0.03141832573519367,2.9146440877362627
Gyro_Y_rms_high,high,Gyro_Y,0.0014033157604158755,0.0013732967914872037,0.0004353031000097311,0.002925796550416118,0.0015789275837509785,0.0052354220905736285,2.0849167613916433,1.1497351435890912,0.001307261992198769,0.001229254224826467,0.9403273652582099,0.0014927626556868322,0.004221507447432391,2.8279830228537173
Gyro_Y_rms_mid,mid,Gyro_Y,0.003586756888834838,0.00360663181497028,0.001016972184974009,0.007458655751426008,0.003973680624254876,0.013090116904115693,2.079498550527343,1.1017705238890931,0.0034263115954793603,0.0031841496881264957,0.9293228591140483,0.0037361662625415267,0.010723251041528385,2.870121479613676
acc_Y_rms_low,low,acc_Y,0.03772191535672528,0.034075056876659175,0.013777296101292538,0.06345213452115643,0.038993828042422796,0.08071907402309482,1.6821026695253378,1.1443510771990197,0.03798178673782307,0.04456643217767026,1.1733632355238848,0.0374799187267083,0.07787583026700576,2.0778014710984745
acc_Sum_rms_low,low,acc_Sum,0.0357969503515374,0.03506848718645396,0.010801769402867194,0.05797279106019497,0.038149005748252966,0.06398037712086857,1.6194896629708337,1.0878429270535779,0.03072616595227778,0.03185458451649357,1.0367250038930462,0.04051895063867863,0.07792021254137349,1.9230560346000747
acc_Sum_rms_high,high,acc_Sum,0.06387179473591323,0.06358442642853104,0.02134570437783108,0.10236335299214039,0.06261535985253872,0.11743859902007099,1.6026378061768238,0.9847593722170073,0.050802247928503214,0.05062708531979584,0.9965520697242789,0.07604237800630562,0.1418762167638761,1.865751972566026
acc_Y_rms_mid,mid,acc_Y,0.08305223639170568,0.08388552969699789,0.024036788208220153,0.12243284014283234,0.0856343238682606,0.122122018128172,1.4741666866788858,1.0208473878341058,0.07821902225733873,0.07292736002423751,0.9323481414061687,0.08755300722582521,0.16024197056307785,1.830228060011305
acc_Sum_rms_mid,mid,acc_Sum,0.07091191415581019,0.06516089578048354,0.026753115968767532,0.08199522256464242,0.06816042335085822,0.05105310909454977,1.156296844342399,1.0460326325236473,0.056996343956324316,0.05895195328528267,1.0343111363503756,0.08387032873310919,0.09959420294832927,1.1874783901855963
