product,class,count,acc_Y_rms_low,acc_Y_rms_mid,acc_Y_rms_high,acc_Sum_rms_low,acc_Sum_rms_mid,acc_Sum_rms_high,Gyro_Y_rms_low,Gyro_Y_rms_mid,Gyro_Y_rms_high
100W,Normal,176,0.03798178673782307,0.07821902225733873,0.07089870625870544,0.03072616595227778,0.056996343956324316,0.050802247928503214,0.01071482078174632,0.0034263115954793603,0.001307261992198769
100W,Abnormal,139,0.04456643217767026,0.07292736002423751,0.0736663382098128,0.03185458451649357,0.05895195328528267,0.05062708531979584,0.010761677025008477,0.0031841496881264957,0.001229254224826467
200W,Normal,189,0.0374799187267083,0.08755300722582521,0.12216208668949884,0.04051895063867863,0.08387032873310919,0.07604237800630562,0.010779472480839183,0.0037361662625415267,0.0014927626556868322
200W,Abnormal,182,0.07787583026700576,0.16024197056307785,0.39256756280560917,0.07792021254137349,0.09959420294832927,0.1418762167638761,0.03141832573519367,0.010723251041528385,0.004221507447432391
Overall,Normal,365,0.03772191535672528,0.08305223639170568,0.09744330598862312,0.0357969503515374,0.07091191415581019,0.06387179473591323,0.01074829796292043,0.003586756888834838,0.0014033157604158755
Overall,Abnormal,321,0.06345213452115643,0.12243284014283234,0.2544763783233172,0.05797279106019497,0.08199522256464242,0.10236335299214039,0.022473546387169547,0.007458655751426008,0.002925796550416118
